number,country,users
1,China,407382000
2,United-States,110568000
3,Japan,41496293
4,Germany,34174900
5,Russia,32062780
6,Brazil,31233004
7,France,29100000
8,United-Kingdom,26586110
9,Korea-South,21285858
10,Mexico,18359028
11,India,18170000
12,Italy,17060505
13,Spain,15176954
14,Canada,14445606
15,Turkey,13407226
16,Vietnam,12994451
17,Bangladesh,10237003
18,Iran,9806123
19,Thailand,9189000
20,Indonesia,8874116
21,Argentina,8473655
22,Australia,7640000
23,Netherlands,7406700
24,Saudi-Arabia,6821873
25,Colombia,6678543
26,Egypt,6579762
27,Poland,6114926
28,Taiwan,5725022
29,Ukraine,5405125
30,Romania,5083000
31,Belgium,4502950
32,Iraq,4492328
33,Uzbekistan,4123508
34,Sweden,3973622
35,Greece,3961864
36,Switzerland,3957669
37,Philippines,3919713
38,Portugal,3784684
39,Chile,3250678
40,Czechia,3222835
41,Belarus,3201519
42,Hungary,3079549
43,Algeria,3067022
44,United-Arab-Emirates,3024565
45,Hong-Kong,2714679
46,Malaysia,2696000
47,Venezuela,2604578
48,Denmark,2534348
49,Austria,2521100
50,Kazakhstan,2462900
51,Israel,2410000
52,Peru,2310217
53,Norway,2206519
54,Ecuador,1953607
55,Bulgaria,1903946
56,Azerbaijan,1890913
57,Pakistan,1811365
58,Finland,1737000
59,New-Zealand,1647000
60,Singapore,1610500
61,Morocco,1552599
62,Serbia,1552160
63,Sri-Lanka,1544313
64,Slovakia,1507998
65,Ireland,1430160
66,Syria,1328688
67,Croatia,1127591
68,South-Africa,1107013
69,Tunisia,1014395
70,Uruguay,977390
71,Tanzania,861234
72,Georgia,840603
73,Costa-Rica,834784
74,Dominican-Republic,794788
75,Nepal,791961
76,Lithuania,788743
77,Bosnia-and-Herzegovina,693554
78,Moldova,623135
79,Slovenia,612737
80,Puerto-Rico,609027
81,Ethiopia,580120
82,Panama,540220
83,Latvia,525995
84,Guatemala,506000
85,Bolivia,504097
86,El-Salvador,492265
87,Estonia,441167
88,Macedonia,427964
89,Oman,422035
90,Jordan,399596
91,Yemen,386330
92,Kenya,371498
93,West-Bank,371299
94,Albania,361947
95,Kyrgyzstan,355640
96,Honduras,354861
97,Armenia,347448
98,Trinidad-and-Tobago,341045
99,Paraguay,320700
100,Gaza-Strip,320500
101,Cyprus,313462
102,Mongolia,306150
103,Jamaica,284756
104,Mauritius,274200
105,Qatar,267906
106,Luxembourg,224300
107,Zimbabwe,203056
108,Macau,193057
109,Nicaragua,192413
110,Malta,191833
111,Bahrain,184603
112,Cote-d'Ivoire,175918
113,Libya,168920
114,Cambodia,166200
115,Montenegro,159029
116,Iceland,136556
117,Senegal,129820
118,Burma,129050
119,Mali,120934
120,Angola,109561
121,Kuwait,103821
122,Cuba,98838
123,Somalia,92000
124,Barbados,89340
125,Bahamas-The,87067
126,Nigeria,73965
127,Suriname,73176
128,Mozambique,70142
129,Guyana,64889
130,Ghana,62320
131,Namibia,61968
132,French-Polynesia,59790
133,Maldives,53470
134,Curacao,51836
135,Brunei,49452
136,Laos,45379
137,Zambia,43365
138,Botswana,40044
139,Andorra,35663
140,Saint-Lucia,32265
141,Sudan,31352
142,Haiti,31100
143,Gabon,29099
144,Madagascar,27211
145,Benin,27034
146,Togo,26156
147,Djibouti,25508
148,Belize,24658
149,Saint-Vincent-and-the-Grenadines,24613
150,Cayman-Islands,24535
151,Grenada,22235
152,Monaco,19822
153,Seychelles,19696
154,Gibraltar,19232
155,Faroe-Islands,18181
156,Cameroon,17987
157,Papua-New-Guinea,17000
158,Liechtenstein,16712
159,Saint-Kitts-and-Nevis,16400
160,Afghanistan,15999
161,Cabo-Verde,15657
162,Burkina-Faso,13818
163,Mauritania,13222
164,Greenland,13192
165,Fiji,13033
166,San-Marino,12500
167,Dominica,11514
168,Malawi,11358
169,Bhutan,10802
170,Uganda,9485
171,Lebanon,9395
172,Antigua-and-Barbuda,9261
173,Niger,8650
174,Liberia,8000
175,Rwanda,7501
176,Eswatini,7000
177,Tajikistan,6000
178,Lesotho,5763
179,Vanuatu,4718
180,British-Virgin-Islands,4715
181,Congo-Democratic-Republic-of-the,4620
182,Gambia-The,4433
183,Turkmenistan,4000
184,Burundi,3935
185,Micronesia-Federated-States-of,3776
186,Tonga,2519
187,Samoa,1692
188,Equatorial-Guinea,1620
189,Falkland-Islands-(Islas-Malvinas),1610
190,Sao-Tome-and-Principe,1557
191,Comoros,1531
192,Solomon-Islands,1488
193,Saint-Helena-Ascension-and-Tristan-da-Cunha,1347
194,Guinea,1213
195,Guinea-Bissau,1204
196,Marshall-Islands,1000
197,Tuvalu,1000
198,Kiribati,884
199,Central-African-Republic,608
200,Timor-Leste,603
201,Eritrea,600
202,Chad,334
203,South-Sudan,200
