number,country,amount
1,United-States,13513
2,Brazil,4093
3,Mexico,1714
4,Canada,1467
5,Russia,1218
6,Argentina,916
7,Bolivia,855
8,Colombia,836
9,Paraguay,799
10,Indonesia,673
11,Papua-New-Guinea,561
12,Germany,539
13,China,507
14,Chile,481
15,France,464
16,United-Kingdom,460
17,Venezuela,444
18,Ecuador,432
19,Australia,418
20,South-Africa,407
21,India,346
22,Iran,319
23,Guatemala,291
24,Philippines,247
25,Sweden,231
26,Saudi-Arabia,214
27,Congo-Democratic-Republic-of-the,198
28,Kenya,197
29,Zimbabwe,196
30,Peru,191
31,Ukraine,187
32,Japan,175
33,Tanzania,166
34,Costa-Rica,161
35,Pakistan,151
36,Algeria,149
37,Finland,148
38,Nicaragua,147
39,Libya,146
40,Spain,135
41,Cuba,133
42,Uruguay,133
43,Oman,132
44,Italy,129
45,Czechia,128
46,Poland,126
47,New-Zealand,123
48,Guyana,117
49,Panama,117
50,Malaysia,114
51,Namibia,112
52,Korea-South,111
53,Honduras,103
54,Angola,102
55,Iraq,102
56,Thailand,101
57,Mozambique,98
58,Turkey,98
59,Iceland,96
60,Kazakhstan,96
61,Norway,95
62,Syria,90
63,South-Sudan,89
64,Zambia,88
65,Egypt,83
66,Madagascar,83
67,Korea-North,82
68,Denmark,80
69,Greece,77
70,Botswana,74
71,Croatia,69
72,Bulgaria,68
73,El-Salvador,68
74,Sudan,67
75,Belarus,65
76,Burma,64
77,Portugal,64
78,Switzerland,63
79,Lithuania,61
80,Chad,59
81,Ethiopia,57
82,Yemen,57
83,Morocco,55
84,Suriname,55
85,Bahamas-The,54
86,French-Polynesia,54
87,Nigeria,54
88,Uzbekistan,53
89,Somalia,52
90,Austria,50
91,Belize,47
92,Nepal,47
93,Uganda,47
94,Afghanistan,46
95,Romania,45
96,Vietnam,45
97,Gabon,44
98,Mongolia,44
99,United-Arab-Emirates,43
100,Israel,42
101,Latvia,42
102,Belgium,41
103,Hungary,41
104,Laos,41
105,Ireland,40
106,Central-African-Republic,39
107,Taiwan,37
108,Dominican-Republic,36
109,Solomon-Islands,36
110,Slovakia,35
111,Cameroon,33
112,Malawi,32
113,Vanuatu,31
114,Mauritania,30
115,Niger,30
116,Liberia,29
117,Netherlands,29
118,Puerto-Rico,29
119,Tunisia,29
120,Fiji,28
121,Jamaica,28
122,Kyrgyzstan,28
123,Congo-Republic-of-the,27
124,Cote-d'Ivoire,27
125,Serbia,26
126,Turkmenistan,26
127,Mali,25
128,New-Caledonia,25
129,Bosnia-and-Herzegovina,24
130,Lesotho,24
131,Tajikistan,24
132,Azerbaijan,23
133,Burkina-Faso,23
134,Georgia,22
135,Senegal,20
136,Kiribati,19
137,Bangladesh,18
138,Estonia,18
139,Jordan,18
140,Sri-Lanka,18
141,Antarctica,17
142,Cambodia,16
143,Guinea,16
144,Slovenia,16
145,Cyprus,15
146,Greenland,15
147,Marshall-Islands,15
148,Eswatini,14
149,Haiti,14
150,Seychelles,14
151,Djibouti,13
152,Eritrea,13
153,Cook-Islands,11
154,Ghana,10
155,Macedonia,10
156,Cabo-Verde,9
157,Maldives,9
158,Singapore,9
159,Guinea-Bissau,8
160,Lebanon,8
161,Sierra-Leone,8
162,Spratly-Islands,8
163,Togo,8
164,Turks-and-Caicos-Islands,8
165,Armenia,7
166,Burundi,7
167,Equatorial-Guinea,7
168,Falkland-Islands-(Islas-Malvinas),7
169,Kuwait,7
170,Moldova,7
171,Rwanda,7
172,Benin,6
173,Kosovo,6
174,Micronesia-Federated-States-of,6
175,Qatar,6
176,Saint-Vincent-and-the-Grenadines,6
177,Timor-Leste,6
178,Tonga,6
179,Guam,5
180,Mauritius,5
181,Montenegro,5
182,Northern-Mariana-Islands,5
183,Bahrain,4
184,British-Virgin-Islands,4
185,Comoros,4
186,French-Southern-and-Antarctic-Lands,4
187,Samoa,4
188,Svalbard,4
189,Trinidad-and-Tobago,4
190,Albania,3
191,American-Samoa,3
192,Antigua-and-Barbuda,3
193,Cayman-Islands,3
194,Grenada,3
195,Palau,3
196,Bhutan,2
197,Dominica,2
198,Guernsey,2
199,Hong-Kong,2
200,Luxembourg,2
201,Saint-Helena-Ascension-and-Tristan-da-Cunha,2
202,Saint-Kitts-and-Nevis,2
203,Saint-Lucia,2
204,Saint-Pierre-and-Miquelon,2
205,Sao-Tome-and-Principe,2
206,Virgin-Islands,2
207,Wallis-and-Futuna,2
208,West-Bank,2
209,Akrotiri,1
210,Anguilla,1
211,Aruba,1
212,Barbados,1
213,Bermuda,1
214,British-Indian-Ocean-Territory,1
215,Brunei,1
216,Christmas-Island,1
217,Cocos-(Keeling)-Islands,1
218,Curacao,1
219,Faroe-Islands,1
220,Gambia-The,1
221,Gaza-Strip,1
222,Gibraltar,1
223,Isle-of-Man,1
224,Jan-Mayen,1
225,Jersey,1
226,Macau,1
227,Malta,1
228,Montserrat,1
229,Nauru,1
230,Niue,1
231,Norfolk-Island,1
232,Paracel-Islands,1
233,Saint-Barthelemy,1
234,Saint-Martin,1
235,Sint-Maarten,1
236,Tuvalu,1
237,Wake-Island,1
