number,country,amount
1,Yemen,39.90
2,Eritrea,39.40
3,Timor-Leste,37.50
4,India,33.40
5,Sudan,33.10
6,Djibouti,29.90
7,Chad,29.40
8,Papua-New-Guinea,27.80
9,South-Sudan,27.70
10,Burundi,27.20
11,Nepal,27.20
12,Madagascar,26.40
13,Cambodia,24.10
14,Congo-Democratic-Republic-of-the,23.40
15,Pakistan,23.10
16,Somalia,23.00
17,Bangladesh,21.90
18,Niger,21.80
19,Nigeria,21.80
20,Ethiopia,21.10
21,Laos,21.10
22,Central-African-Republic,20.80
23,Sri-Lanka,20.50
24,Mauritania,19.20
25,Afghanistan,19.10
26,Philippines,19.10
27,Angola,19.00
28,Mali,18.60
29,Burma,18.50
30,Burkina-Faso,17.70
31,Indonesia,17.70
32,Maldives,17.70
33,Guinea-Bissau,17.00
34,Comoros,16.90
35,Benin,16.80
36,Guinea,16.30
37,Solomon-Islands,16.20
38,Mozambique,15.60
39,Togo,15.20
40,Kiribati,14.90
41,Tanzania,14.60
42,Malaysia,13.70
43,Liberia,13.60
44,Sierra-Leone,13.60
45,Vietnam,13.40
46,Senegal,13.30
47,Namibia,13.20
48,Cote-d'Ivoire,12.80
49,Bhutan,12.70
50,Ghana,12.60
51,Guatemala,12.40
52,Congo-Republic-of-the,12.30
53,Marshall-Islands,11.90
54,Malawi,11.80
55,Zambia,11.80
56,Libya,11.70
57,Vanuatu,11.70
58,Kenya,11.20
59,Oman,11.20
60,Cameroon,11.00
61,Lesotho,10.50
62,Uganda,10.40
63,Gambia-The,10.30
64,Zimbabwe,9.70
65,Brunei,9.60
66,Rwanda,9.60
67,Haiti,9.50
68,Korea-North,9.30
69,Sao-Tome-and-Principe,8.80
70,Guyana,8.20
71,Tajikistan,7.60
72,Honduras,7.10
73,Egypt,7.00
74,Thailand,6.70
75,Gabon,6.40
76,South-Africa,5.90
77,Eswatini,5.80
78,Suriname,5.80
79,Syria,5.80
80,Equatorial-Guinea,5.60
81,Ecuador,5.10
82,El-Salvador,5.00
83,Azerbaijan,4.90
84,Trinidad-and-Tobago,4.90
85,Belize,4.60
86,Nicaragua,4.60
87,Mexico,4.20
88,Iran,4.10
89,Dominican-Republic,4.00
90,Uruguay,4.00
91,Iraq,3.90
92,Colombia,3.70
93,Seychelles,3.60
94,Barbados,3.50
95,Bolivia,3.40
96,Japan,3.40
97,Samoa,3.20
98,Turkmenistan,3.20
99,Algeria,3.00
100,Jordan,3.00
101,Kuwait,3.00
102,Uzbekistan,2.90
103,Venezuela,2.90
104,Saint-Lucia,2.80
105,Armenia,2.60
106,Morocco,2.60
107,Peru,2.60
108,China,2.40
109,Jamaica,2.20
110,Moldova,2.20
111,Kazakhstan,2.00
112,Bulgaria,1.90
113,Mongolia,1.90
114,Tonga,1.90
115,Kyrgyzstan,1.80
116,Serbia,1.80
117,Argentina,1.70
118,Bosnia-and-Herzegovina,1.60
119,Tunisia,1.60
120,Albania,1.50
121,Turkey,1.50
122,Gaza-Strip,1.40
123,West-Bank,1.40
124,Macedonia,1.30
125,Paraguay,1.30
126,Georgia,1.10
127,Montenegro,1.00
128,Korea-South,0.70
129,Chile,0.50
130,Germany,0.50
131,United-States,0.50
