number,country,percentage
1,South-Africa,72000
2,India,69000
3,Mozambique,51000
4,Nigeria,45000
5,Indonesia,38000
6,Tanzania,27000
7,Kenya,21000
8,Uganda,21000
9,Zimbabwe,20000
10,Zambia,17000
11,Congo-Democratic-Republic-of-the,15000
12,Brazil,14000
13,Cameroon,14000
14,Ghana,14000
15,Thailand,14000
16,Angola,13000
17,Cote-d'Ivoire,13000
18,Malawi,13000
19,Ethiopia,12000
20,South-Sudan,9100
21,Burma,7700
22,Pakistan,6800
23,Ukraine,5900
24,Mali,5800
25,Botswana,5000
26,Vietnam,5000
27,Lesotho,4800
28,Congo-Republic-of-the,4500
29,Colombia,4100
30,Mexico,4000
31,Central-African-Republic,3800
32,Chad,3200
33,Burkina-Faso,3100
34,Guinea,3100
35,Namibia,3000
36,Togo,3000
37,Rwanda,2800
38,Haiti,2700
39,Malaysia,2700
40,Sierra-Leone,2600
41,Iran,2500
42,Benin,2300
43,Eswatini,2300
44,Sudan,2300
45,Dominican-Republic,1900
46,Liberia,1900
47,Burundi,1800
48,Equatorial-Guinea,1800
49,Philippines,1600
50,Guinea-Bissau,1500
51,Argentina,1400
52,Madagascar,1400
53,Cambodia,1300
54,Guatemala,1200
55,Senegal,1200
56,Gabon,1100
57,Gambia-The,1100
58,Niger,1100
59,Jamaica,1000
60,Macedonia,300
