number,country,percentage
1,Oman,8.80
2,Saudi-Arabia,8.00
3,Algeria,6.00
4,United-Arab-Emirates,5.70
5,Kuwait,5.60
6,Israel,5.00
7,Armenia,4.90
8,Jordan,4.70
9,Lebanon,4.20
10,Azerbaijan,4.00
11,Pakistan,4.00
12,Uzbekistan,4.00
13,Yemen,3.98
14,Russia,3.90
15,Ukraine,3.90
16,Iran,3.80
17,Bahrain,3.70
18,Iraq,3.50
19,South-Sudan,3.50
20,United-States,3.42
21,Brunei,3.30
22,Bulgaria,3.25
23,Colombia,3.20
24,Singapore,3.20
25,Morocco,3.10
26,Togo,3.10
27,Namibia,3.00
28,Burma,2.90
29,Cuba,2.90
30,Botswana,2.80
31,Mauritania,2.80
32,Congo-Republic-of-the,2.70
33,Korea-South,2.70
34,Mali,2.70
35,Tunisia,2.60
36,Burkina-Faso,2.40
37,India,2.40
38,Cambodia,2.30
39,Ecuador,2.30
40,Vietnam,2.30
41,Greece,2.28
42,Chad,2.20
43,Serbia,2.20
44,Estonia,2.14
45,United-Kingdom,2.14
46,Uganda,2.10
47,Romania,2.04
48,Lithuania,2.03
49,Latvia,2.01
50,Georgia,2.00
51,Guinea,2.00
52,Poland,2.00
53,Uruguay,2.00
54,Australia,1.90
55,China,1.90
56,Sri-Lanka,1.90
57,Turkey,1.89
58,France,1.84
59,Burundi,1.80
60,Chile,1.80
61,Eswatini,1.80
62,Niger,1.80
63,Norway,1.80
64,Slovakia,1.74
65,Guyana,1.70
66,Taiwan,1.70
67,Croatia,1.68
68,Montenegro,1.66
69,Angola,1.60
70,Cyprus,1.60
71,Fiji,1.60
72,Gabon,1.60
73,Honduras,1.60
74,Jamaica,1.60
75,Nepal,1.60
76,Sudan,1.60
77,Portugal,1.52
78,Brazil,1.50
79,Central-African-Republic,1.50
80,Finland,1.50
81,Kyrgyzstan,1.50
82,Lesotho,1.50
83,New-Zealand,1.50
84,Senegal,1.50
85,Bolivia,1.40
86,Guinea-Bissau,1.40
87,Germany,1.38
88,Netherlands,1.36
89,Denmark,1.32
90,Canada,1.31
91,Albania,1.30
92,Bangladesh,1.30
93,Kenya,1.30
94,Seychelles,1.30
95,Tanzania,1.30
96,Thailand,1.30
97,Italy,1.22
98,Hungary,1.21
99,Afghanistan,1.20
100,Belarus,1.20
101,Belize,1.20
102,Egypt,1.20
103,El-Salvador,1.20
104,North-Macedonia,1.20
105,Peru,1.20
106,Rwanda,1.20
107,Tajikistan,1.20
108,Zambia,1.20
109,Czechia,1.19
110,Cameroon,1.10
111,Cote-d'Ivoire,1.10
112,Equatorial-Guinea,1.10
113,Kazakhstan,1.10
114,Sweden,1.10
115,Slovenia,1.04
116,Malaysia,1.00
117,Paraguay,1.00
118,Philippines,1.00
119,South-Africa,1.00
120,Timor-Leste,1.00
121,Zimbabwe,1.00
122,Mozambique,0.99
123,Belgium,0.93
124,Japan,0.93
125,Spain,0.92
126,Bosnia-and-Herzegovina,0.90
127,Macedonia,0.90
128,Malawi,0.90
129,Gambia-The,0.80
130,Kosovo,0.80
131,Argentina,0.70
132,Austria,0.70
133,Benin,0.70
134,Congo-Democratic-Republic-of-the,0.70
135,Dominican-Republic,0.70
136,Ethiopia,0.70
137,Indonesia,0.70
138,Mongolia,0.70
139,Nicaragua,0.70
140,Sierra-Leone,0.70
141,Switzerland,0.70
142,Trinidad-and-Tobago,0.70
143,Madagascar,0.60
144,Malta,0.60
145,Luxembourg,0.56
146,Cabo-Verde,0.50
147,Liberia,0.50
148,Mexico,0.50
149,Nigeria,0.50
150,Venezuela,0.50
151,Ghana,0.40
152,Guatemala,0.40
153,Moldova,0.40
154,Papua-New-Guinea,0.40
155,Iceland,0.30
156,Ireland,0.30
157,Laos,0.20
158,Mauritius,0.20
