number,country,percentage
1,Niger,7.00
2,Angola,5.96
3,Congo-Democratic-Republic-of-the,5.77
4,Mali,5.72
5,Chad,5.68
6,South-Sudan,5.54
7,Uganda,5.54
8,Benin,5.53
9,Somalia,5.51
10,Zambia,5.49
11,Malawi,5.31
12,Burundi,5.28
13,Mozambique,4.97
14,Guinea,4.92
15,Liberia,4.90
16,Afghanistan,4.82
17,Guinea-Bissau,4.75
18,Nigeria,4.72
19,Sudan,4.72
20,Cameroon,4.66
21,Sierra-Leone,4.62
22,Tanzania,4.59
23,Burkina-Faso,4.51
24,Congo-Republic-of-the,4.45
25,Timor-Leste,4.44
26,Togo,4.22
27,Central-African-Republic,4.14
28,Ethiopia,4.14
29,Equatorial-Guinea,4.11
30,Senegal,4.04
31,Zimbabwe,3.93
32,Ghana,3.90
33,Sao-Tome-and-Principe,3.82
34,Madagascar,3.78
35,Eritrea,3.73
36,Cote-d'Ivoire,3.67
37,Mauritania,3.65
38,Gaza-Strip,3.64
39,Pakistan,3.60
40,Rwanda,3.52
41,Kenya,3.43
42,Gabon,3.41
43,Iraq,3.39
44,Egypt,3.29
45,Gambia-The,3.21
46,Yemen,3.20
47,Libya,3.17
48,Namibia,3.07
49,West-Bank,3.07
50,Jordan,3.04
51,Solomon-Islands,2.97
52,Comoros,2.95
53,Philippines,2.92
54,Syria,2.90
55,Tuvalu,2.88
56,Tonga,2.87
57,Marshall-Islands,2.86
58,Guam,2.84
59,Papua-New-Guinea,2.84
60,Vanuatu,2.79
61,Oman,2.76
62,Guatemala,2.72
63,Belize,2.70
64,Northern-Mariana-Islands,2.70
65,Nauru,2.68
66,Algeria,2.59
67,Israel,2.59
68,Kyrgyzstan,2.54
69,Laos,2.53
70,Eswatini,2.52
71,Haiti,2.52
72,Tajikistan,2.51
73,Lesotho,2.50
74,Samoa,2.50
75,Bolivia,2.48
76,Botswana,2.45
77,Malaysia,2.43
78,Cambodia,2.39
79,American-Samoa,2.35
80,India,2.35
81,Faroe-Islands,2.31
82,Fiji,2.31
83,Morocco,2.31
84,Micronesia-Federated-States-of,2.29
85,Kuwait,2.26
86,Venezuela,2.26
87,Kiribati,2.25
88,Dominican-Republic,2.24
89,Panama,2.23
90,South-Africa,2.22
91,Argentina,2.21
92,Djibouti,2.19
93,Mexico,2.19
94,Cabo-Verde,2.16
95,Kazakhstan,2.16
96,Cook-Islands,2.12
97,Bangladesh,2.11
98,Ecuador,2.09
99,El-Salvador,2.09
100,Honduras,2.09
101,Burma,2.07
102,Jamaica,2.07
103,France,2.06
104,Tunisia,2.06
105,Indonesia,2.04
106,Peru,2.04
107,Turkmenistan,2.04
108,Virgin-Islands,2.03
109,Dominica,2.02
110,Sint-Maarten,2.02
111,Sri-Lanka,2.01
112,Curacao,2.00
