number,country,amount
1,Saudi-Arabia,7341000
2,Russia,4921000
3,Iraq,3092000
4,Canada,2818000
5,United-Arab-Emirates,2552000
6,Nigeria,2096000
7,Angola,1782000
8,Venezuela,1656000
9,Kazakhstan,1409000
10,Norway,1383000
11,Mexico,1214000
12,United-States,1158000
13,Qatar,1150000
14,Oman,844100
15,Algeria,756400
16,Iran,750200
17,Brazil,736600
18,Colombia,726700
19,Azerbaijan,718800
20,United-Kingdom,710600
21,Kuwait,479700
22,Ecuador,383500
23,Libya,337800
24,Malaysia,326200
25,Vietnam,324600
26,Equatorial-Guinea,308700
27,Indonesia,302300
28,Congo-Republic-of-the,254100
29,Egypt,246500
30,Gabon,214200
31,Australia,192500
32,South-Sudan,147300
33,Brunei,127400
34,Ghana,104000
35,Cameroon,96370
36,Denmark,82980
37,Chad,70440
38,Turkmenistan,67790
39,Timor-Leste,62060
40,China,57310
41,Papua-New-Guinea,55600
42,Tunisia,39980
43,Argentina,36630
44,Belarus,31730
45,Trinidad-and-Tobago,31030
46,Uzbekistan,27000
47,Cote-d'Ivoire,26700
48,New-Zealand,26440
49,Congo-Democratic-Republic-of-the,20000
50,Sudan,19540
51,Albania,17290
52,Philippines,16450
53,Svalbard,16070
54,Singapore,14780
55,Sweden,14570
56,Mongolia,14360
57,Italy,13790
58,Pakistan,13150
59,Guatemala,9383
60,Yemen,8990
61,Peru,7995
62,Netherlands,7984
63,Germany,6569
64,Ireland,5900
65,Mauritania,5333
66,Poland,4451
67,Greece,3229
68,Georgia,3006
69,Hungary,2713
70,Romania,2076
71,Burma,1824
72,Bolivia,1274
73,Belize,1220
74,Slovakia,1022
75,Lithuania,1002
76,Thailand,790
77,Barbados,674
78,Czechia,446
79,Ukraine,413
80,Macedonia,142
81,Serbia,123
82,Afghanistan,0
83,American-Samoa,0
84,Andorra,0
85,Antigua-and-Barbuda,0
86,Armenia,0
87,Aruba,0
88,Austria,0
89,Bahamas-The,0
90,Bahrain,0
91,Bangladesh,0
92,Belgium,0
93,Benin,0
94,Bermuda,0
95,Bhutan,0
96,Bosnia-and-Herzegovina,0
97,Botswana,0
98,British-Virgin-Islands,0
99,Bulgaria,0
100,Burkina-Faso,0
101,Burundi,0
102,Cabo-Verde,0
103,Cambodia,0
104,Cayman-Islands,0
105,Central-African-Republic,0
106,Chile,0
107,Comoros,0
108,Cook-Islands,0
109,Costa-Rica,0
110,Croatia,0
111,Cuba,0
112,Curacao,0
113,Cyprus,0
114,Djibouti,0
115,Dominica,0
116,Dominican-Republic,0
117,El-Salvador,0
118,Eritrea,0
119,Estonia,0
120,Eswatini,0
121,Ethiopia,0
122,Falkland-Islands-(Islas-Malvinas),0
123,Faroe-Islands,0
124,Fiji,0
125,Finland,0
126,France,0
127,French-Polynesia,0
128,Gambia-The,0
129,Gibraltar,0
130,Greenland,0
131,Grenada,0
132,Guam,0
133,Guinea,0
134,Guinea-Bissau,0
135,Guyana,0
136,Haiti,0
137,Honduras,0
138,Hong-Kong,0
139,Iceland,0
140,India,0
141,Israel,0
142,Jamaica,0
143,Japan,0
144,Jordan,0
145,Kenya,0
146,Kiribati,0
147,Korea-North,0
148,Korea-South,0
149,Kosovo,0
150,Kyrgyzstan,0
151,Laos,0
152,Latvia,0
153,Lebanon,0
154,Lesotho,0
155,Liberia,0
156,Luxembourg,0
157,Macau,0
158,Madagascar,0
159,Malawi,0
160,Maldives,0
161,Mali,0
162,Malta,0
163,Marshall-Islands,0
164,Mauritius,0
165,Micronesia-Federated-States-of,0
166,Moldova,0
167,Montenegro,0
168,Montserrat,0
169,Morocco,0
170,Mozambique,0
171,Namibia,0
172,Nauru,0
173,Nepal,0
174,New-Caledonia,0
175,Nicaragua,0
176,Niger,0
177,Niue,0
178,Panama,0
179,Paraguay,0
180,Portugal,0
181,Puerto-Rico,0
182,Rwanda,0
183,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
184,Saint-Kitts-and-Nevis,0
185,Saint-Lucia,0
186,Saint-Pierre-and-Miquelon,0
187,Saint-Vincent-and-the-Grenadines,0
188,Samoa,0
189,Sao-Tome-and-Principe,0
190,Senegal,0
191,Seychelles,0
192,Sierra-Leone,0
193,Sint-Maarten,0
194,Slovenia,0
195,Solomon-Islands,0
196,Somalia,0
197,South-Africa,0
198,Spain,0
199,Sri-Lanka,0
200,Suriname,0
201,Switzerland,0
202,Syria,0
203,Taiwan,0
204,Tajikistan,0
205,Tanzania,0
206,Togo,0
207,Tonga,0
208,Turkey,0
209,Turks-and-Caicos-Islands,0
210,Tuvalu,0
211,Uganda,0
212,Uruguay,0
213,Vanuatu,0
214,Virgin-Islands,0
215,West-Bank,0
216,Zambia,0
217,Zimbabwe,0
