number,country,amount
1,United-States,10962000
2,Russia,10759000
3,Saudi-Arabia,10425000
4,Iraq,4613000
5,Canada,4264000
6,Iran,4251000
7,China,3773000
8,United-Arab-Emirates,3216000
9,Kuwait,2807000
10,Brazil,2587000
11,Nigeria,1989000
12,Kazakhstan,1856000
13,Mexico,1852000
14,Angola,1593000
15,Norway,1517000
16,Venezuela,1484000
17,Qatar,1464000
18,Algeria,1259000
19,Libya,1039000
20,United-Kingdom,1000000
21,Oman,979000
22,Colombia,863000
23,Azerbaijan,798000
24,Indonesia,772000
25,India,709000
26,Malaysia,647000
27,Egypt,639000
28,Ecuador,517000
29,Argentina,489000
30,Congo-Republic-of-the,340000
31,Australia,284000
32,Turkmenistan,244000
33,Vietnam,242000
34,Thailand,228000
35,Gabon,196000
36,Svalbard,194300
37,Ghana,173000
38,Equatorial-Guinea,172000
39,South-Sudan,150200
40,Chad,132000
41,Denmark,115000
42,Brunei,100000
43,Sudan,95000
44,Italy,90000
45,Pakistan,90000
46,Romania,70000
47,Cameroon,69000
48,Trinidad-and-Tobago,63000
49,Yemen,61000
50,Bolivia,60000
51,Turkey,55000
52,Cote-d'Ivoire,52000
53,Cuba,50000
54,Peru,49000
55,Papua-New-Guinea,45000
56,Germany,41000
57,Uzbekistan,41000
58,Bahrain,40000
59,Tunisia,39000
60,Timor-Leste,33000
61,Ukraine,32000
62,Belarus,31000
63,Syria,25000
64,New-Zealand,24000
65,Poland,21000
66,Mongolia,20000
67,Netherlands,18000
68,Congo-Democratic-Republic-of-the,17000
69,Serbia,17000
70,Suriname,17000
71,France,16000
72,Hungary,16000
73,Albania,14000
74,Croatia,14000
75,Austria,13000
76,Philippines,13000
77,Burma,11000
78,Guatemala,9600
79,Niger,9000
80,Greece,4100
81,Mauritania,4000
82,Japan,3200
83,Bangladesh,3000
84,Chile,3000
85,Belize,2000
86,Czechia,2000
87,Lithuania,2000
88,Spain,1700
89,South-Africa,1600
90,Barbados,1000
91,Bulgaria,1000
92,Kyrgyzstan,1000
93,Georgia,400
94,Israel,390
95,Slovakia,200
96,Taiwan,196
97,Tajikistan,180
98,Morocco,160
99,Jordan,22
100,Slovenia,5
101,Afghanistan,0
102,American-Samoa,0
103,Andorra,0
104,Antarctica,0
105,Antigua-and-Barbuda,0
106,Armenia,0
107,Aruba,0
108,Bahamas-The,0
109,Belgium,0
110,Benin,0
111,Bermuda,0
112,Bhutan,0
113,Bosnia-and-Herzegovina,0
114,Botswana,0
115,British-Virgin-Islands,0
116,Burkina-Faso,0
117,Burundi,0
118,Cabo-Verde,0
119,Cambodia,0
120,Cayman-Islands,0
121,Central-African-Republic,0
122,Comoros,0
123,Cook-Islands,0
124,Costa-Rica,0
125,Curacao,0
126,Cyprus,0
127,Djibouti,0
128,Dominica,0
129,Dominican-Republic,0
130,El-Salvador,0
131,Eritrea,0
132,Estonia,0
133,Eswatini,0
134,Ethiopia,0
135,Falkland-Islands-(Islas-Malvinas),0
136,Faroe-Islands,0
137,Fiji,0
138,Finland,0
139,French-Polynesia,0
140,Gambia-The,0
141,Gibraltar,0
142,Greenland,0
143,Grenada,0
144,Guam,0
145,Guinea,0
146,Guinea-Bissau,0
147,Guyana,0
148,Haiti,0
149,Honduras,0
150,Hong-Kong,0
151,Iceland,0
152,Ireland,0
153,Jamaica,0
154,Kenya,0
155,Kiribati,0
156,Korea-North,0
157,Korea-South,0
158,Kosovo,0
159,Laos,0
160,Latvia,0
161,Lebanon,0
162,Lesotho,0
163,Liberia,0
164,Luxembourg,0
165,Macau,0
166,Macedonia,0
167,Madagascar,0
168,Malawi,0
169,Maldives,0
170,Mali,0
171,Malta,0
172,Marshall-Islands,0
173,Mauritius,0
174,Micronesia-Federated-States-of,0
175,Moldova,0
176,Montenegro,0
177,Montserrat,0
178,Mozambique,0
179,Namibia,0
180,Nauru,0
181,Nepal,0
182,New-Caledonia,0
183,Nicaragua,0
184,Niue,0
185,Panama,0
186,Paraguay,0
187,Portugal,0
188,Puerto-Rico,0
189,Rwanda,0
190,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
191,Saint-Kitts-and-Nevis,0
192,Saint-Lucia,0
193,Saint-Pierre-and-Miquelon,0
194,Saint-Vincent-and-the-Grenadines,0
195,Samoa,0
196,Sao-Tome-and-Principe,0
197,Senegal,0
198,Seychelles,0
199,Sierra-Leone,0
200,Singapore,0
201,Solomon-Islands,0
202,Somalia,0
203,Sri-Lanka,0
204,Sweden,0
205,Switzerland,0
206,Tanzania,0
207,Togo,0
208,Tonga,0
209,Turks-and-Caicos-Islands,0
210,Tuvalu,0
211,Uganda,0
212,United-States-Pacific-Island-Wildlife-Refuges,0
213,Uruguay,0
214,Vanuatu,0
215,Virgin-Islands,0
216,Wake-Island,0
217,West-Bank,0
218,Zambia,0
219,Zimbabwe,0
