number,country,amount
1,Lesotho,100.0
2,Bhutan,99.0
3,Paraguay,99.0
4,Congo-Democratic-Republic-of-the,98.0
5,Albania,95.0
6,Tajikistan,94.0
7,Malawi,93.0
8,Norway,93.0
9,Zambia,93.0
10,Nepal,92.0
11,Ethiopia,86.0
12,Mozambique,83.0
13,Kyrgyzstan,76.0
14,Burundi,73.0
15,Laos,72.0
16,Iceland,71.0
17,Colombia,69.0
18,Montenegro,69.0
19,Uganda,68.0
20,Guinea,67.0
21,Switzerland,67.0
22,Georgia,65.0
23,Angola,64.0
24,Brazil,64.0
25,Costa-Rica,64.0
26,Namibia,64.0
27,Cambodia,63.0
28,Burma,61.0
29,New-Zealand,58.0
30,Canada,56.0
31,Korea-North,55.0
32,Ecuador,54.0
33,Latvia,53.0
34,Afghanistan,52.0
35,Bosnia-and-Herzegovina,51.0
36,Panama,51.0
37,Rwanda,51.0
38,Sierra-Leone,51.0
39,Sudan,51.0
40,Central-African-Republic,50.0
41,Gabon,49.0
42,Greenland,49.0
43,Venezuela,49.0
44,Cameroon,47.0
45,Austria,43.0
46,Liberia,43.0
47,Vietnam,43.0
48,Ghana,42.0
49,Sri-Lanka,42.0
50,Sweden,42.0
51,Cote-d'Ivoire,40.0
52,Croatia,40.0
53,Tanzania,40.0
54,Equatorial-Guinea,38.0
55,Fiji,38.0
56,Suriname,38.0
57,Macedonia,37.0
58,Zimbabwe,37.0
59,Congo-Republic-of-the,36.0
60,Peru,35.0
61,Serbia,35.0
62,Kenya,34.0
63,Slovenia,34.0
64,Turkey,33.0
65,Armenia,32.0
66,Faroe-Islands,31.0
67,Guatemala,31.0
68,Mali,31.0
69,Papua-New-Guinea,30.0
70,Romania,29.0
71,Togo,29.0
72,Uruguay,29.0
73,Belize,27.0
74,Pakistan,27.0
75,Chile,26.0
76,Dominica,25.0
77,Honduras,25.0
78,Portugal,25.0
79,Argentina,24.0
80,Madagascar,24.0
81,Slovakia,24.0
82,Andorra,23.0
83,Bulgaria,23.0
84,El-Salvador,23.0
85,Samoa,23.0
86,Russia,21.0
87,Eswatini,20.0
88,Finland,20.0
89,French-Polynesia,19.0
90,Marshall-Islands,19.0
91,Nigeria,19.0
92,Bolivia,18.0
93,China,18.0
94,Haiti,18.0
95,Malaysia,18.0
96,Mexico,17.0
97,Philippines,17.0
98,Syria,17.0
99,Dominican-Republic,16.0
100,Mauritania,16.0
101,Morocco,16.0
102,France,15.0
103,Iran,15.0
104,Azerbaijan,14.0
105,Greece,14.0
106,Italy,14.0
107,Kazakhstan,14.0
108,Spain,14.0
109,Uzbekistan,14.0
110,Saint-Vincent-and-the-Grenadines,13.0
111,India,12.0
112,Moldova,12.0
113,Australia,11.0
114,Lebanon,11.0
115,Sao-Tome-and-Principe,11.0
116,Benin,9.0
117,Burkina-Faso,9.0
118,Indonesia,9.0
119,Iraq,9.0
120,Nicaragua,9.0
121,Japan,8.0
122,Luxembourg,8.0
123,New-Caledonia,8.0
124,Thailand,8.0
125,Ukraine,8.0
126,Mauritius,7.0
127,Senegal,7.0
128,United-States,7.0
129,Egypt,6.0
130,Czechia,5.0
131,Comoros,4.0
132,Lithuania,4.0
133,Taiwan,4.0
134,Jamaica,3.0
135,Kosovo,3.0
136,Bangladesh,2.0
137,Germany,2.0
138,Ireland,2.0
139,Korea-South,2.0
140,Mongolia,2.0
141,Poland,2.0
142,Puerto-Rico,2.0
143,United-Kingdom,2.0
144,Algeria,1.0
145,Belarus,1.0
146,Belgium,1.0
147,Cuba,1.0
148,Hungary,1.0
149,Micronesia-Federated-States-of,1.0
150,South-Africa,1.0
151,Tunisia,1.0
152,American-Samoa,0.0
153,Antigua-and-Barbuda,0.0
154,Aruba,0.0
155,Bahamas-The,0.0
156,Bahrain,0.0
157,Barbados,0.0
158,Bermuda,0.0
159,Botswana,0.0
160,British-Virgin-Islands,0.0
161,Brunei,0.0
162,Cabo-Verde,0.0
163,Cayman-Islands,0.0
164,Chad,0.0
165,Cook-Islands,0.0
166,Cyprus,0.0
167,Denmark,0.0
168,Djibouti,0.0
169,Eritrea,0.0
170,Estonia,0.0
171,Falkland-Islands-(Islas-Malvinas),0.0
172,Gambia-The,0.0
173,Gibraltar,0.0
174,Grenada,0.0
175,Guam,0.0
176,Guinea-Bissau,0.0
177,Guyana,0.0
178,Hong-Kong,0.0
179,Israel,0.0
180,Jordan,0.0
181,Kiribati,0.0
182,Kuwait,0.0
183,Libya,0.0
184,Macau,0.0
185,Maldives,0.0
186,Malta,0.0
187,Montserrat,0.0
188,Nauru,0.0
189,Netherlands,0.0
190,Niger,0.0
191,Niue,0.0
192,Oman,0.0
193,Qatar,0.0
194,Saint-Helena-Ascension-and-Tristan-da-Cunha,0.0
195,Saint-Kitts-and-Nevis,0.0
196,Saint-Lucia,0.0
197,Saint-Pierre-and-Miquelon,0.0
198,Saudi-Arabia,0.0
199,Seychelles,0.0
200,Singapore,0.0
201,Solomon-Islands,0.0
202,Somalia,0.0
203,South-Sudan,0.0
204,Timor-Leste,0.0
205,Tonga,0.0
206,Trinidad-and-Tobago,0.0
207,Turkmenistan,0.0
208,Turks-and-Caicos-Islands,0.0
209,Tuvalu,0.0
210,United-Arab-Emirates,0.0
211,Vanuatu,0.0
212,Virgin-Islands,0.0
213,West-Bank,0.0
214,Yemen,0.0
