number,country,amount
1,Liechtenstein,139100
2,Macau,122000
3,Monaco,115700
4,Luxembourg,112009
5,Bermuda,99400
6,Norway,91781
7,Isle-of-Man,84600
8,Switzerland,81475
9,Ireland,81340
10,Brunei,78900
11,Falkland-Islands-(Islas-Malvinas),70800
12,United-Arab-Emirates,68600
13,Sint-Maarten,66800
14,Denmark,66351
15,Australia,62753
16,Qatar,62019
17,Gibraltar,61700
18,Sweden,59699
19,San-Marino,59000
20,Singapore,57853
21,Jersey,56600
22,Netherlands,56329
23,United-States,55761
24,Iceland,54696
25,Saudi-Arabia,54500
26,Guernsey,52500
27,Canada,52205
28,Germany,50800
29,Austria,50205
30,Andorra,49900
31,Finland,49380
32,Japan,48979
33,Belgium,47478
34,Saint-Pierre-and-Miquelon,46200
35,Oman,46000
36,France,45739
37,Cayman-Islands,43800
38,United-Kingdom,43111
39,Greenland,41800
40,Faroe-Islands,40000
41,New-Zealand,39815
42,Puerto-Rico,39400
43,Hong-Kong,38293
44,Israel,37527
45,Aruba,37500
46,Malta,37300
47,Virgin-Islands,37000
48,Guam,35600
49,Italy,35589
50,British-Virgin-Islands,34200
51,Montserrat,34000
52,Spain,33698
53,Kuwait,33087
54,Bahamas-The,32400
55,New-Caledonia,31100
56,Korea-South,28941
57,Saint-Kitts-and-Nevis,28200
58,Slovenia,27631
59,Turks-and-Caicos-Islands,27100
60,Antigua-and-Barbuda,26400
61,Czechia,25816
62,Portugal,24808
63,Greece,24588
64,Taiwan,24502
65,Northern-Mariana-Islands,24500
66,Cyprus,23948
67,Bahrain,23441
68,Uruguay,22400
69,Mauritius,22300
70,Slovakia,21066
71,Estonia,20897
72,Iran,20100
73,Lebanon,19600
74,Saint-Martin,19300
75,Maldives,19200
76,Lithuania,18844
77,Poland,18768
78,Barbados,18600
79,Montenegro,17800
80,Hungary,17749
81,Botswana,17000
82,Dominican-Republic,17000
83,French-Polynesia,17000
84,Croatia,16923
85,Costa-Rica,16900
86,Latvia,16778
87,Cook-Islands,16700
88,Algeria,15200
89,Trinidad-and-Tobago,15185
90,Grenada,15100
91,Chile,15098
92,Turkey,15075
93,Curacao,15000
94,Seychelles,14955
95,Macedonia,14900
96,Suriname,14900
97,Palau,14700
98,Saint-Lucia,14400
99,Mongolia,13700
100,Russia,12842
101,Paraguay,12800
102,Malaysia,12482
103,Cuba,12300
104,Nauru,12300
105,Anguilla,12200
106,Romania,12011
107,Panama,11910
108,Tunisia,11900
109,Kazakhstan,11845
110,Saint-Vincent-and-the-Grenadines,11500
111,American-Samoa,11200
112,Brazil,11117
113,Dominica,11000
114,Georgia,10700
115,Mexico,10275
116,Bulgaria,9888
117,Argentina,9807
118,Fiji,9800
119,Armenia,9500
120,Equatorial-Guinea,9228
121,Jamaica,9200
122,Gabon,9119
123,Bhutan,9000
124,Belize,8300
125,Guatemala,8200
126,Libya,8141
127,Guyana,8100
128,China,8041
129,El-Salvador,8000
130,Namibia,7873
131,Colombia,7838
132,Saint-Helena-Ascension-and-Tristan-da-Cunha,7800
133,Venezuela,7704
134,Turkmenistan,7644
135,Ukraine,7439
136,Laos,7400
137,South-Africa,7341
138,Serbia,7268
139,Uzbekistan,6900
140,Congo-Republic-of-the,6800
141,Belarus,6695
142,Bosnia-and-Herzegovina,6641
143,Thailand,6623
144,Peru,6550
145,Burma,6300
146,Tokelau,6004
147,Timor-Leste,6000
148,Nicaragua,5900
149,Nigeria,5900
150,Tonga,5900
151,Azerbaijan,5863
152,Niue,5800
153,Samoa,5700
154,Iraq,5604
155,Honduras,5600
156,Albania,5156
157,Ecuador,5097
158,Eswatini,4821
159,Ghana,4700
160,Indonesia,4455
161,West-Bank,4300
162,Kosovo,4281
163,Sri-Lanka,4103
164,Cambodia,4000
165,Zambia,4000
166,Cabo-Verde,3980
167,Tuvalu,3800
168,Wallis-and-Futuna,3800
169,Cameroon,3700
170,Papua-New-Guinea,3700
171,Djibouti,3600
172,Marshall-Islands,3600
173,Morocco,3450
174,Micronesia-Federated-States-of,3400
175,Philippines,3340
176,Jordan,3291
177,Tajikistan,3200
178,Angola,3097
179,Egypt,2943
180,Syria,2900
181,Nepal,2700
182,Vanuatu,2700
183,Bolivia,2579
184,Yemen,2500
185,Moldova,2441
186,Uganda,2400
187,Solomon-Islands,2200
188,Vietnam,2125
189,India,2100
190,Rwanda,2100
191,Afghanistan,2000
192,Kiribati,2000
193,Sudan,1929
194,Haiti,1800
195,Korea-North,1700
196,Cote-d'Ivoire,1692
197,Eritrea,1600
198,Sierra-Leone,1600
199,South-Sudan,1600
200,Senegal,1583
201,Comoros,1406
202,Pakistan,1404
203,Lesotho,1384
204,Kenya,1354
205,Zimbabwe,1306
206,Mozambique,1300
207,Bangladesh,1281
208,Benin,1224
209,Malawi,1200
210,Kyrgyzstan,1127
211,Tanzania,959
212,Guinea,937
213,Burkina-Faso,821
214,Gambia-The,815
215,Chad,813
216,Mali,792
217,Central-African-Republic,700
218,Togo,672
219,Guinea-Bissau,598
220,Ethiopia,537
221,Liberia,516
222,Madagascar,497
223,Niger,472
224,Congo-Democratic-Republic-of-the,421
225,Burundi,208
226,Mauritania,175
227,Sao-Tome-and-Principe,1
