number,country,percentage
1,Libya,64.00
2,Northern-Mariana-Islands,28.60
3,Falkland-Islands-(Islas-Malvinas),25.50
4,Ethiopia,10.90
5,Macau,9.10
6,Ghana,8.40
7,Guinea,8.20
8,Nepal,7.90
9,Cote-d'Ivoire,7.80
10,Greenland,7.70
11,Armenia,7.50
12,Bangladesh,7.40
13,Bhutan,7.40
14,Montserrat,7.40
15,Senegal,7.20
16,Tajikistan,7.10
17,Tanzania,6.98
18,Cambodia,6.90
19,Laos,6.90
20,Burma,6.80
21,Vietnam,6.80
22,Djibouti,6.70
23,Turkmenistan,6.50
24,Burkina-Faso,6.40
25,Niue,6.20
26,China,6.14
27,Kazakhstan,6.13
28,Rwanda,6.10
29,Philippines,6.04
30,Faroe-Islands,5.90
31,Guinea-Bissau,5.90
32,Ireland,5.86
33,Benin,5.60
34,Mali,5.40
35,Monaco,5.40
36,Pakistan,5.40
37,Panama,5.40
38,Kenya,5.39
39,Seychelles,5.30
40,Turks-and-Caicos-Islands,5.30
41,Uzbekistan,5.30
42,West-Bank,5.30
43,Grenada,5.10
44,Mongolia,5.10
45,Indonesia,5.03
46,Eritrea,5.00
47,Georgia,5.00
48,Estonia,5.00
49,Malta,4.94
50,Nicaragua,4.90
51,Niger,4.90
52,India,4.86
53,Honduras,4.80
54,Maldives,4.80
55,Paraguay,4.80
56,Uganda,4.80
57,Dominican-Republic,4.60
58,Gambia-The,4.60
59,Kyrgyzstan,4.60
60,Hungary,4.58
61,Poland,4.55
62,Moldova,4.50
63,Togo,4.40
64,Lithuania,4.33
65,Malaysia,4.31
66,Central-African-Republic,4.30
67,Montenegro,4.30
68,Egypt,4.20
69,Madagascar,4.20
70,Vanuatu,4.20
71,Romania,4.20
72,Serbia,4.18
73,Cabo-Verde,4.00
74,Malawi,4.00
75,Nauru,4.00
76,Sao-Tome-and-Principe,3.90
77,Mauritius,3.80
78,Iran,3.70
79,Kosovo,3.70
80,Sierra-Leone,3.70
81,Zimbabwe,3.70
82,Curacao,3.60
83,Sint-Maarten,3.60
84,Cameroon,3.50
85,Mauritania,3.50
86,Solomon-Islands,3.50
87,Congo-Democratic-Republic-of-the,3.40
88,Zambia,3.40
89,Bulgaria,3.39
90,Costa-Rica,3.30
91,Israel,3.28
92,Colombia,3.26
93,Ukraine,3.24
94,Tuvalu,3.20
95,Mozambique,3.11
96,Kiribati,3.10
97,Cyprus,3.08
98,Bosnia-and-Herzegovina,3.00
99,Fiji,3.00
100,Saint-Lucia,3.00
101,Croatia,2.94
102,Denmark,2.85
103,Antigua-and-Barbuda,2.80
104,Guatemala,2.80
105,Taiwan,2.71
106,Afghanistan,2.70
107,Comoros,2.70
108,Uruguay,2.70
109,Thailand,2.62
110,Morocco,2.50
111,Liberia,2.50
112,Marshall-Islands,2.50
113,Papua-New-Guinea,2.50
114,Samoa,2.50
115,Tonga,2.50
116,Bahrain,2.49
117,Slovakia,2.40
118,Slovenia,2.40
119,Botswana,2.40
120,Luxembourg,2.31
121,El-Salvador,2.30
122,Somalia,2.30
123,Sri-Lanka,2.29
124,Czechia,2.27
125,Albania,2.24
126,Portugal,2.24
127,New-Zealand,2.22
128,Bolivia,2.22
129,Peru,2.18
130,United-States,2.16
131,Guyana,2.10
132,Saint-Kitts-and-Nevis,2.10
133,Latvia,2.08
134,Korea-South,2.04
135,British-Virgin-Islands,2.00
136,French-Polynesia,2.00
137,Jordan,2.00
138,Micronesia-Federated-States-of,2.00
139,New-Caledonia,2.00
140,Tunisia,2.00
141,Spain,1.95
142,Iceland,1.94
143,San-Marino------------------------,1.90
144,Suriname,1.90
145,Greece,1.87
146,Australia,1.84
147,Liechtenstein,1.80
148,Cayman-Islands,1.70
149,Canada,1.66
150,Netherlands,1.63
151,Cuba,1.60
152,Eswatini,1.60
153,Qatar,1.60
154,Lebanon,1.50
155,France,1.49
156,Austria,1.42
157,Belgium,1.41
158,Algeria,1.40
159,Bahamas-The,1.40
160,Sudan,1.40
161,Russia,1.34
162,Brunei,1.30
163,Sweden,1.29
164,United-Kingdom,1.26
165,Belarus,1.22
166,Aruba,1.20
167,Haiti,1.20
168,Finland,1.15
169,Brazil,1.13
170,Switzerland,1.11
171,Chile,1.03
172,Cocos-(Keeling)-Islands,1.00
173,Jersey,1.00
174,Turkey,0.98
175,Virgin-Islands,0.90
176,Norway,0.86
177,Belize,0.80
178,Nigeria,0.80
179,United-Arab-Emirates,0.80
180,Singapore,0.73
181,Jamaica,0.70
182,Saint-Vincent-and-the-Grenadines,0.70
183,Japan,0.70
184,Germany,0.59
185,Gabon,0.50
186,Guam,0.40
187,Guernsey,0.40
188,Italy,0.34
189,Azerbaijan,0.10
190,Cook-Islands,0.10
191,South-Africa,0.06
192,Ecuador,0.06
193,Burundi,0.00
194,Macedonia,0.00
195,Bermuda,-0.10
196,Barbados,-0.20
197,Mexico,-0.30
198,Oman,-0.90
199,Saudi-Arabia,-0.90
200,Andorra,-1.10
201,Korea-North,-1.10
202,Hong-Kong,-1.25
