number,country,amount
1,United-States,3214184000000
2,China,2140000000000
3,Germany,1804453000000
4,Japan,1032112000000
5,France,1021633000000
6,United-Kingdom,987018000000
7,Netherlands,755650000000
8,Italy,647058000000
9,Canada,629402000000
10,India,624314000000
11,Korea-South,599705000000
12,Hong-Kong,565253000000
13,Curacao,540300000000
14,Singapore,533478000000
15,Ireland,489957000000
16,Mexico,480886000000
17,Belgium,473129000000
18,Spain,463145000000
19,Russia,366919000000
20,Poland,364993000000
21,Switzerland,344477000000
22,Australia,334279000000
23,Taiwan,308744000000
24,Sweden,276622000000
25,Brazil,271257000000
26,Vietnam,266066000000
27,Turkey,258385000000
28,Thailand,257873000000
29,Austria,253276000000
30,Malaysia,233719000000
31,United-Arab-Emirates,229200000000
32,Indonesia,223440000000
33,Czechia,211922000000
34,Ukraine,207335000000
35,Denmark,197818000000
36,Hungary,159630000000
37,Philippines,158307000000
38,Norway,158037000000
39,Romania,136091000000
40,South-Africa,131721000000
41,Finland,120437000000
42,Portugal,120334000000
43,Saudi-Arabia,119300000000
44,Israel,116230000000
45,Egypt,115345000000
46,Luxembourg,111287000000
47,Slovakia,107880000000
48,Greece,94597000000
49,Somalia,94430000000
50,Samoa,89290000000
51,Chile,87505000000
52,Colombia,87072000000
53,Iran,76390000000
54,Argentina,72162000000
55,Kazakhstan,69117000000
56,Morocco,64120000000
57,New-Zealand,63622000000
58,Kuwait,54556000000
59,Puerto-Rico,49010000000
60,Algeria,48540000000
61,Peru,48211000000
62,Slovenia,45489000000
63,Bulgaria,44853000000
64,Bangladesh,44801000000
65,Lithuania,43733000000
66,Pakistan,42270000000
67,Iraq,39470000000
68,Croatia,37612000000
69,Nigeria,32670000000
70,Belarus,31580000000
71,Qatar,30770000000
72,Panama,28978000000
73,Ecuador,26096000000
74,Sri-Lanka,24984000000
75,Oman,24120000000
76,Bahrain,23399000000
77,Estonia,23323000000
78,Latvia,22049000000
79,Malta,21940000000
80,Cyprus,21070000000
81,Tuvalu,20690000000
82,Serbia,20440000000
83,Jordan,19669000000
84,Angola,19500000000
85,Congo-Democratic-Republic-of-the,19500000000
86,Tunisia,19090000000
87,Kenya,18729000000
88,Venezuela,18432000000
89,Lebanon,18340000000
90,Dominican-Republic,17700000000
91,Guatemala,17110000000
92,Ethiopia,15590000000
93,Costa-Rica,15150000000
94,Burma,14958000000
95,Cambodia,14370000000
96,Cote-d'Ivoire,14248000000
97,Malawi,12818000000
98,Ghana,12650000000
99,Bosnia-and-Herzegovina,12561000000
100,Uzbekistan,11420000000
101,Libya,11360000000
102,Paraguay,11350000000
103,Honduras,11320000000
104,Macau,11100000000
105,Cuba,11060000000
106,Bolivia,10142000000
107,Nepal,10000000000
108,Uganda,9991000000
109,Tanzania,9972000000
110,Namibia,9921000000
111,El-Salvador,9499000000
112,Iceland,9399000000
113,Azerbaijan,9037000000
114,Uruguay,8607000000
115,Gaza-Strip,8590000000
116,Sudan,8220000000
117,Guinea,7924000000
118,Zambia,7852000000
119,Afghanistan,7616000000
120,Georgia,7415000000
121,Mozambique,7371000000
122,Jamaica,7314000000
123,Zimbabwe,7215000000
124,Moldova,7113000000
125,Macedonia,6630000000
126,Nicaragua,6613000000
127,West-Bank,6565000000
128,Syria,6279000000
129,Equatorial-Guinea,6245000000
130,Trinidad-and-Tobago,6105000000
131,Mongolia,5875000000
132,Madagascar,5855000000
133,Kyrgyzstan,5477000000
134,Benin,5458000000
135,Burkina-Faso,5294000000
136,Senegal,5217000000
137,Gabon,5020000000
138,Botswana,5005000000
139,Mauritius,4986000000
140,Laos,4976000000
141,Cameroon,4812000000
142,Palau,4715000000
143,Turkmenistan,4571000000
144,Albania,4103000000
145,Yemen,4079000000
146,South-Sudan,3795000000
147,Armenia,3771000000
148,Mali,3644000000
149,Haiti,3618000000
150,Kosovo,3223000000
151,Bahamas-The,3180000000
152,Niger,2999000000
153,Brunei,2998000000
154,Gibraltar,2967000000
155,Guam,2964000000
156,Togo,2911000000
157,New-Caledonia,2715000000
158,Sierra-Leone,2619000000
159,Montenegro,2618000000
160,Lesotho,2613000000
161,Eswatini,2605000000
162,San-Marino,2551000000
163,Congo-Republic-of-the,2501000000
164,Virgin-Islands,2489000000
165,Tajikistan,2390000000
166,Korea-North,2320000000
167,French-Polynesia,2235000000
168,Liechtenstein,2230000000
169,Chad,2160000000
170,Maldives,2125000000
171,Rwanda,1922000000
172,Fiji,1911000000
173,Papua-New-Guinea,1876000000
174,Liberia,1820000000
175,Guyana,1626000000
176,Barbados,1520000000
177,Monaco,1371000000
178,Suriname,1293000000
179,Andorra,1257000000
180,Gambia-The,1246000000
181,Seychelles,1155000000
182,Eritrea,1127000000
183,Aruba,1122000000
184,Bermuda,1094000000
185,Burundi,1040000000
186,Bhutan,1025000000
187,Faroe-Islands,978400000
188,Northern-Mariana-Islands,893000000
189,Belize,845900000
190,Cabo-Verde,836100000
191,Cayman-Islands,787300000
192,Greenland,783500000
193,Djibouti,726400000
194,Timor-Leste,681200000
195,American-Samoa,615000000
196,Saint-Lucia,600000000
197,Turks-and-Caicos-Islands,591300000
198,Antigua-and-Barbuda,560000000
199,Comoros,471000000
200,Solomon-Islands,462100000
201,Central-African-Republic,393100000
202,Guinea-Bissau,383000000
203,Saint-Kitts-and-Nevis,335300000
204,Mauritania,318000000
205,Grenada,316000000
206,British-Virgin-Islands,300000000
207,Saint-Vincent-and-the-Grenadines,295900000
208,Vanuatu,273700000
209,Tonga,250200000
210,Dominica,206600000
211,Anguilla,186200000
212,Micronesia-Federated-States-of,167800000
213,Sao-Tome-and-Principe,127700000
214,Cook-Islands,109300000
215,Kiribati,107100000
216,Marshall-Islands,103800000
217,Saint-Pierre-and-Miquelon,95350000
