number,country,number
1,China,774710000
2,India,521900000
3,Indonesia,129366000
4,Brazil,86621000
5,Russia,69923000
6,Bangladesh,66640000
7,Japan,66540000
8,Pakistan,61710000
9,Nigeria,60080000
10,Vietnam,54659000
11,Ethiopia,52820000
12,Mexico,50914000
13,Germany,44585000
14,Philippines,41533000
15,Thailand,37546000
16,United-States,35412000
17,Iran,30500000
18,France,27742000
19,Korea-South,26839000
20,Turkey,25677000
21,Tanzania,24890000
22,Egypt,24113000
23,Italy,22920000
24,Burma,22300000
25,Congo-Democratic-Republic-of-the,20692000
26,Kenya,19600000
27,Colombia,19309000
28,Spain,19057000
29,Canada,18136000
30,Argentina,18000000
31,Ukraine,17990000
32,Nepal,16810000
33,United-Kingdom,16033000
34,Uganda,15840000
35,Malaysia,15139000
36,South-Africa,14687000
37,Venezuela,14210000
38,Korea-North,14000000
39,Saudi-Arabia,13800000
40,Madagascar,13400000
41,Uzbekistan,13273000
42,Mozambique,12900000
43,Australia,12568000
44,Angola,12510000
45,Ghana,12490000
46,Sudan,11920000
47,Taiwan,11498000
48,Algeria,10859000
49,Morocco,10399000
50,Cameroon,9912000
51,Poland,9561000
52,Cambodia,8913000
53,Netherlands,8907000
54,Iraq,8900000
55,Cote-d'Ivoire,8747000
56,Kazakhstan,8685000
57,Burkina-Faso,8501000
58,Afghanistan,8478000
59,Ecuador,8086000
60,Sri-Lanka,8000000
61,Zimbabwe,7907000
62,Yemen,7425000
63,Chile,7249000
64,Malawi,7000000
65,Senegal,6966000
66,Zambia,6898000
67,Guatemala,6664000
68,Niger,6500000
69,Mali,6447000
70,Rwanda,6227000
71,Bolivia,5719000
72,Chad,5654000
73,Guinea,5558000
74,United-Arab-Emirates,5344000
75,Czechia,5222000
76,Switzerland,5067000
77,Sweden,5029000
78,Burundi,5012000
79,Azerbaijan,4939000
80,Romania,4889000
81,Dominican-Republic,4732000
82,Portugal,4717000
83,Cuba,4691000
84,Haiti,4594000
85,Hungary,4414000
86,Belarus,4381000
87,Somalia,4154000
88,Belgium,4122000
89,Tunisia,4054000
90,Greece,4000000
91,Israel,3893000
92,Singapore,3778000
93,Syria,3767000
94,Austria,3739000
95,Honduras,3735000
96,Papua-New-Guinea,3681000
97,Benin,3662000
98,Hong-Kong,3627000
99,Laos,3582000
100,Paraguay,3428000
101,Peru,3421000
102,Bulgaria,3113000
103,Nicaragua,3046000
104,Serbia,3000000
105,El-Salvador,2908000
106,Kyrgyzstan,2841000
107,Denmark,2736000
108,Eritrea,2710000
109,New-Zealand,2709000
110,Norway,2699000
111,Kuwait,2695000
112,Togo,2595000
113,Finland,2520000
114,Slovakia,2511000
115,Turkmenistan,2305000
116,Tajikistan,2295000
117,Ireland,2289000
118,Oman,2255000
119,Central-African-Republic,2242000
120,Lebanon,2166000
121,Congo-Republic-of-the,2055000
122,Qatar,1953000
123,Costa-Rica,1843000
