number,country,percentage
1,Germany,119500000000
2,Japan,116600000000
3,China,97630000000
4,United-States,86150000000
5,Italy,69660000000
6,Turkey,55130000000
7,Netherlands,51000000000
8,Mexico,50120000000
9,Korea-South,48650000000
10,France,48590000000
11,United-Kingdom,47000000000
12,Spain,34630000000
13,Canada,26360000000
14,India,23960000000
15,Taiwan,22140000000
16,United-Arab-Emirates,20220000000
17,Belgium,18090000000
18,Belarus,17530000000
19,Russia,15770000000
20,Poland,15720000000
21,Thailand,14410000000
22,Austria,14020000000
23,Singapore,13480000000
24,Hungary,13370000000
25,Ukraine,12970000000
26,Brazil,10510000000
27,Argentina,9826000000
28,Czechia,8891000000
29,Egypt,7079000000
30,Portugal,6541000000
31,Jordan,6456000000
32,Pakistan,6003000000
33,Australia,5776000000
34,Kazakhstan,5748000000
35,Kuwait,5125000000
36,Greece,4984000000
37,Slovakia,4984000000
38,Chile,4446000000
39,South-Africa,4162000000
40,Iran,3993000000
41,Tunisia,3851000000
42,Switzerland,3681000000
43,Hong-Kong,3370000000
44,Bulgaria,3256000000
45,Malaysia,2803000000
46,Moldova,2520000000
47,Lithuania,2492000000
48,Armenia,2350000000
49,Finland,2322000000
50,Georgia,2294000000
51,Azerbaijan,2095000000
52,Serbia,2010000000
53,Oman,1982000000
54,Croatia,1841000000
55,Ireland,1642000000
56,Iraq,1359000000
57,Puerto-Rico,1303000000
58,Latvia,1246000000
59,Romania,1218000000
60,Dominican-Republic,1161000000
61,Morocco,1133000000
62,Slovenia,906100000
63,Luxembourg,792800000
64,Sweden,764500000
65,Denmark,509700000
66,Israel,509700000
67,Estonia,481400000
68,Ghana,317400000
69,Malta,311500000
70,Bosnia-and-Herzegovina,226500000
71,Jamaica,198200000
72,Macedonia,198200000
73,Macau,175500000
74,Kyrgyzstan,169900000
75,Uruguay,70790000
76,Colombia,48140000
77,Norway,5663000
78,Barbados,5653000
79,Bahamas-The,48020
80,Aruba,1
81,Afghanistan,0
82,Albania,0
83,Algeria,0
84,American-Samoa,0
85,Andorra,0
86,Angola,0
87,Antigua-and-Barbuda,0
88,Bahrain,0
89,Bangladesh,0
90,Belize,0
91,Benin,0
92,Bermuda,0
93,Bhutan,0
94,Bolivia,0
95,Botswana,0
96,British-Virgin-Islands,0
97,Brunei,0
98,Burkina-Faso,0
99,Burma,0
100,Burundi,0
101,Cabo-Verde,0
102,Cambodia,0
103,Cameroon,0
104,Cayman-Islands,0
105,Central-African-Republic,0
106,Chad,0
107,Comoros,0
108,Congo-Democratic-Republic-of-the,0
109,Congo-Republic-of-the,0
110,Cook-Islands,0
111,Costa-Rica,0
112,Cote-d'Ivoire,0
113,Cuba,0
114,Curacao,0
115,Cyprus,0
116,Djibouti,0
117,Dominica,0
118,Ecuador,0
119,El-Salvador,0
120,Equatorial-Guinea,0
121,Eritrea,0
122,Eswatini,0
123,Ethiopia,0
124,Falkland-Islands-(Islas-Malvinas),0
125,Faroe-Islands,0
126,Fiji,0
127,French-Polynesia,0
128,Gabon,0
129,Gambia-The,0
130,Gibraltar,0
131,Greenland,0
132,Grenada,0
133,Guam,0
134,Guatemala,0
135,Guinea,0
136,Guinea-Bissau,0
137,Guyana,0
138,Haiti,0
139,Honduras,0
140,Iceland,0
141,Indonesia,0
142,Kenya,0
143,Kiribati,0
144,Korea-North,0
145,Kosovo,0
146,Laos,0
147,Lebanon,0
148,Lesotho,0
149,Liberia,0
150,Libya,0
151,Madagascar,0
152,Malawi,0
153,Maldives,0
154,Mali,0
155,Marshall-Islands,0
156,Mauritania,0
157,Mauritius,0
158,Mongolia,0
159,Montenegro,0
160,Montserrat,0
161,Mozambique,0
162,Namibia,0
163,Nauru,0
164,Nepal,0
165,New-Caledonia,0
166,New-Zealand,0
167,Nicaragua,0
168,Niger,0
169,Nigeria,0
170,Niue,0
171,Panama,0
172,Papua-New-Guinea,0
173,Paraguay,0
174,Peru,0
175,Philippines,0
176,Qatar,0
177,Rwanda,0
178,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
179,Saint-Kitts-and-Nevis,0
180,Saint-Lucia,0
181,Saint-Pierre-and-Miquelon,0
182,Saint-Vincent-and-the-Grenadines,0
183,Samoa,0
184,Sao-Tome-and-Principe,0
185,Saudi-Arabia,0
186,Senegal,0
187,Seychelles,0
188,Sierra-Leone,0
189,Solomon-Islands,0
190,Somalia,0
191,South-Sudan,0
192,Sri-Lanka,0
193,Sudan,0
194,Suriname,0
195,Svalbard,0
196,Syria,0
197,Tajikistan,0
198,Tanzania,0
199,Timor-Leste,0
200,Togo,0
201,Tonga,0
202,Trinidad-and-Tobago,0
203,Turkmenistan,0
204,Turks-and-Caicos-Islands,0
205,Tuvalu,0
206,Uganda,0
207,Uzbekistan,0
208,Vanuatu,0
209,Venezuela,0
210,Vietnam,0
211,Virgin-Islands,0
212,West-Bank,0
213,Yemen,0
214,Zambia,0
215,Zimbabwe,0
