number,country,percentage
1,United-States,772800000000
2,Russia,665600000000
3,Iran,214500000000
4,Qatar,166400000000
5,Canada,159100000000
6,China,145900000000
7,Norway,123900000000
8,Saudi-Arabia,109300000000
9,Australia,105200000000
10,Algeria,93500000000
11,Turkmenistan,77450000000
12,Indonesia,72090000000
13,Malaysia,69490000000
14,United-Arab-Emirates,62010000000
15,Uzbekistan,52100000000
16,Egypt,50860000000
17,Netherlands,45330000000
18,Nigeria,44480000000
19,United-Kingdom,42110000000
20,Argentina,40920000000
21,Pakistan,39050000000
22,Thailand,38590000000
23,Trinidad-and-Tobago,36730000000
24,Mexico,31570000000
25,India,31540000000
26,Oman,31230000000
27,Bangladesh,29530000000
28,Venezuela,27070000000
29,Brazil,23960000000
30,Kazakhstan,22410000000
31,Ukraine,19730000000
32,Bolivia,18690000000
33,Burma,18410000000
34,Kuwait,17100000000
35,Azerbaijan,16960000000
36,Bahrain,15890000000
37,Peru,12990000000
38,Brunei,12740000000
39,Papua-New-Guinea,11180000000
40,Romania,10870000000
41,Colombia,10020000000
42,Israel,9826000000
43,Libya,9089000000
44,Vietnam,8098000000
45,Germany,7900000000
46,Equatorial-Guinea,6069000000
47,Mozambique,6003000000
48,Timor-Leste,5776000000
49,Poland,5748000000
50,Italy,5550000000
51,New-Zealand,5097000000
52,Denmark,4842000000
53,Syria,3738000000
54,Ireland,3511000000
55,Angola,3115000000
56,Tanzania,3115000000
57,Japan,3058000000
58,Philippines,3058000000
59,Cote-d'Ivoire,2322000000
60,Hungary,1812000000
61,Congo-Republic-of-the,1387000000
62,Austria,1274000000
63,Iraq,1274000000
64,Tunisia,1274000000
65,Chile,1218000000
66,Cuba,1189000000
67,Croatia,1048000000
68,Ghana,914400000
69,Cameroon,910400000
70,South-Africa,906100000
71,Serbia,509700000
72,Yemen,481400000
73,Ecuador,477800000
74,Gabon,401000000
75,Turkey,368100000
76,Korea-South,339800000
77,Taiwan,237900000
78,Czechia,229400000
79,Afghanistan,164200000
80,Jordan,121800000
81,Slovakia,104800000
82,Morocco,87780000
83,Bulgaria,79280000
84,Belarus,59460000
85,Senegal,59460000
86,Albania,50970000
87,Spain,36810000
88,Kyrgyzstan,28320000
89,Tajikistan,19820000
90,France,16990000
91,Barbados,14160000
92,Moldova,11330000
93,Greece,8000000
94,Slovenia,8000000
95,Georgia,7363000
96,Aruba,1
97,American-Samoa,0
98,Andorra,0
99,Antigua-and-Barbuda,0
100,Armenia,0
101,Bahamas-The,0
102,Belgium,0
103,Belize,0
104,Benin,0
105,Bermuda,0
106,Bhutan,0
107,Bosnia-and-Herzegovina,0
108,Botswana,0
109,British-Virgin-Islands,0
110,Burkina-Faso,0
111,Burundi,0
112,Cabo-Verde,0
113,Cambodia,0
114,Cayman-Islands,0
115,Central-African-Republic,0
116,Chad,0
117,Comoros,0
118,Congo-Democratic-Republic-of-the,0
119,Cook-Islands,0
120,Costa-Rica,0
121,Curacao,0
122,Cyprus,0
123,Djibouti,0
124,Dominica,0
125,Dominican-Republic,0
126,El-Salvador,0
127,Eritrea,0
128,Estonia,0
129,Eswatini,0
130,Ethiopia,0
131,Falkland-Islands-(Islas-Malvinas),0
132,Faroe-Islands,0
133,Fiji,0
134,Finland,0
135,French-Polynesia,0
136,Gambia-The,0
137,Gibraltar,0
138,Greenland,0
139,Grenada,0
140,Guam,0
141,Guatemala,0
142,Guinea,0
143,Guinea-Bissau,0
144,Guyana,0
145,Haiti,0
146,Honduras,0
147,Hong-Kong,0
148,Iceland,0
149,Jamaica,0
150,Kenya,0
151,Kiribati,0
152,Korea-North,0
153,Kosovo,0
154,Laos,0
155,Latvia,0
156,Lebanon,0
157,Lesotho,0
158,Liberia,0
159,Lithuania,0
160,Luxembourg,0
161,Macau,0
162,Macedonia,0
163,Madagascar,0
164,Malawi,0
165,Maldives,0
166,Mali,0
167,Malta,0
168,Marshall-Islands,0
169,Mauritania,0
170,Mauritius,0
171,Micronesia-Federated-States-of,0
172,Mongolia,0
173,Montenegro,0
174,Montserrat,0
175,Namibia,0
176,Nauru,0
177,Nepal,0
178,New-Caledonia,0
179,Nicaragua,0
180,Niger,0
181,Niue,0
182,Panama,0
183,Paraguay,0
184,Portugal,0
185,Puerto-Rico,0
186,Rwanda,0
187,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
188,Saint-Kitts-and-Nevis,0
189,Saint-Lucia,0
190,Saint-Pierre-and-Miquelon,0
191,Saint-Vincent-and-the-Grenadines,0
192,Samoa,0
193,Sao-Tome-and-Principe,0
194,Seychelles,0
195,Sierra-Leone,0
196,Singapore,0
197,Solomon-Islands,0
198,Somalia,0
199,South-Sudan,0
200,Sri-Lanka,0
201,Sudan,0
202,Suriname,0
203,Svalbard,0
204,Sweden,0
205,Switzerland,0
206,Togo,0
207,Tonga,0
208,Turks-and-Caicos-Islands,0
209,Tuvalu,0
210,Uganda,0
211,Uruguay,0
212,Vanuatu,0
213,Virgin-Islands,0
214,West-Bank,0
215,Zambia,0
216,Zimbabwe,0
