number,country,bll
1,United-States,19960000
2,China,12470000
3,India,4521000
4,Japan,3894000
5,Russia,3650000
6,Saudi-Arabia,3287000
7,Brazil,2956000
8,Korea-South,2584000
9,Germany,2460000
10,Canada,2445000
11,Mexico,1984000
12,Iran,1804000
13,France,1705000
14,Indonesia,1601000
15,United-Kingdom,1584000
16,Thailand,1326000
17,Singapore,1322000
18,Spain,1296000
19,Italy,1236000
20,Australia,1175000
21,Turkey,989900
22,Taiwan,962400
23,Netherlands,954500
24,United-Arab-Emirates,896000
25,Egypt,878000
26,Iraq,826000
27,Argentina,806000
28,Malaysia,704000
29,Venezuela,659000
30,Poland,649600
31,Belgium,648600
32,South-Africa,621000
33,Pakistan,557000
34,Kuwait,446000
35,Vietnam,438000
36,Philippines,424000
37,Algeria,405000
38,Hong-Kong,403100
39,Chile,354500
40,Colombia,333000
41,Nigeria,325000
42,Sweden,323100
43,Greece,304100
44,Morocco,278000
45,Qatar,277000
46,Kazakhstan,274000
47,Austria,268000
48,Ecuador,265000
49,Libya,260000
50,Peru,250000
51,Portugal,247200
52,Israel,242200
53,Ukraine,233000
54,Switzerland,223900
55,Finland,217100
56,Czechia,213700
57,Norway,205300
58,Romania,198000
59,Oman,188000
60,Cuba,175000
61,New-Zealand,169100
62,Hungary,167700
63,Turkmenistan,160000
64,Denmark,158500
65,Lebanon,154000
66,Ireland,153700
67,Panama,146000
68,Belarus,141000
69,Jordan,139000
70,Dominican-Republic,134000
71,Syria,134000
72,Angola,130000
73,Burma,123000
74,Sri-Lanka,116000
75,Sudan,112000
76,Kenya,109000
77,Bangladesh,106000
78,Yemen,104000
79,Tunisia,102000
80,Azerbaijan,100000
81,Puerto-Rico,98000
82,Bulgaria,97000
83,Ghana,90000
84,Guatemala,89000
85,Slovakia,85880
86,Bolivia,83000
87,Svalbard,80250
88,Gibraltar,78000
89,Ethiopia,74000
90,Serbia,74000
91,Croatia,73000
92,Tanzania,72000
93,Curacao,70000
94,Bahrain,61000
95,Uzbekistan,60000
96,Luxembourg,59850
97,Honduras,59000
98,Lithuania,58000
99,Jamaica,55000
100,Costa-Rica,53000
101,Uruguay,53000
102,Slovenia,52140
103,El-Salvador,52000
104,Cote-d'Ivoire,51000
105,Trinidad-and-Tobago,51000
106,Cyprus,49000
107,Senegal,48000
108,Cambodia,45000
109,Cameroon,45000
110,Malta,45000
111,Latvia,44600
112,Paraguay,43000
113,Benin,38000
114,Kyrgyzstan,37000
115,Nicaragua,37000
116,Papua-New-Guinea,37000
117,Afghanistan,35000
118,Bosnia-and-Herzegovina,32000
119,Uganda,32000
120,Albania,29000
121,Estonia,28300
122,Georgia,27000
123,Mauritius,27000
124,Mongolia,27000
125,Namibia,27000
126,Nepal,27000
127,Zimbabwe,27000
128,Mozambique,26000
129,Gabon,24000
130,Tajikistan,24000
131,West-Bank,24000
132,Burkina-Faso,23000
133,Zambia,23000
134,Mali,22000
135,Botswana,21000
136,Congo-Democratic-Republic-of-the,21000
137,Haiti,21000
138,Macedonia,21000
139,Iceland,20850
140,Bahamas-The,20040
141,British-Virgin-Islands,20000
142,New-Caledonia,20000
143,Guinea,19000
144,Brunei,18000
145,Korea-North,18000
146,Laos,18000
147,Madagascar,18000
148,Moldova,18000
149,Congo-Republic-of-the,17000
150,Mauritania,17000
151,Fiji,16000
152,Togo,15000
153,Guam,14000
154,Guyana,14000
155,Kosovo,14000
156,Niger,14000
157,Suriname,13000
158,Macau,12700
159,Barbados,11000
160,Maldives,11000
161,Sint-Maarten,10600
162,Armenia,8000
163,Aruba,8000
164,Liberia,8000
165,South-Sudan,8000
166,Seychelles,7300
167,Rwanda,6700
168,French-Polynesia,6600
169,Sierra-Leone,6500
170,Djibouti,6360
171,Malawi,6000
172,Montenegro,6000
173,Cabo-Verde,5600
174,Somalia,5600
175,Eswatini,5300
176,Equatorial-Guinea,5200
177,Antigua-and-Barbuda,5000
178,Bermuda,5000
179,Lesotho,5000
180,Faroe-Islands,4600
181,Cayman-Islands,4400
182,Belize,4000
183,Eritrea,4000
184,Greenland,4000
185,Gambia-The,3800
186,Timor-Leste,3500
187,Saint-Lucia,3100
188,Bhutan,3000
189,Central-African-Republic,2800
190,Guinea-Bissau,2700
191,Samoa,2400
192,American-Samoa,2375
193,Chad,2300
194,Grenada,2000
195,Marshall-Islands,2000
196,Saint-Kitts-and-Nevis,1700
197,Saint-Vincent-and-the-Grenadines,1620
198,Solomon-Islands,1600
199,Burundi,1500
200,Turks-and-Caicos-Islands,1420
201,Comoros,1300
202,Dominica,1300
203,Virgin-Islands,1240
204,Vanuatu,1100
205,Sao-Tome-and-Principe,1000
206,Tonga,900
207,Saint-Pierre-and-Miquelon,660
208,Cook-Islands,600
209,Nauru,470
210,Kiribati,400
211,Montserrat,400
212,Falkland-Islands-(Islas-Malvinas),290
213,Saint-Helena-Ascension-and-Tristan-da-Cunha,70
214,Niue,50
