number,country,amount
1,United-States,20300000
2,China,11510000
3,Russia,6076000
4,India,4897000
5,Japan,3467000
6,Korea-South,3302000
7,Brazil,2811000
8,Saudi-Arabia,2476000
9,Germany,2158000
10,Canada,2009000
11,Iran,1764000
12,Italy,1607000
13,Spain,1361000
14,Thailand,1328000
15,France,1311000
16,United-Kingdom,1290000
17,Netherlands,1282000
18,Indonesia,950000
19,United-Arab-Emirates,943500
20,Venezuela,926300
21,Taiwan,924000
22,Kuwait,915800
23,Mexico,844600
24,Singapore,755000
25,Belgium,731700
26,Argentina,669800
27,Turkey,657900
28,Greece,655400
29,Algeria,627900
30,Poland,554200
31,Egypt,547500
32,Malaysia,528300
33,South-Africa,487100
34,Belarus,477200
35,Australia,462500
36,Sweden,413200
37,Iraq,398000
38,Norway,371600
39,Portugal,323000
40,Finland,310600
41,Colombia,303600
42,Israel,294300
43,Pakistan,291200
44,Kazakhstan,290700
45,Bahrain,274500
46,Qatar,273800
47,Romania,232600
48,Oman,229600
49,Chile,216200
50,Philippines,215500
51,Lithuania,196500
52,Turkmenistan,191100
53,Curacao,189800
54,Austria,186500
55,Denmark,183900
56,Czechia,177500
57,Peru,166600
58,Vietnam,153800
59,Hungary,152400
60,Bulgaria,144300
61,Azerbaijan,138900
62,Ecuador,137400
63,Trinidad-and-Tobago,134700
64,Slovakia,131300
65,New-Zealand,115100
66,Syria,111600
67,Cuba,104100
68,Sudan,94830
69,Libya,89620
70,Croatia,74620
71,Serbia,74350
72,Cote-d'Ivoire,69360
73,Jordan,67240
74,Morocco,66230
75,Bolivia,65960
76,Ireland,64970
77,Ukraine,63670
78,Uzbekistan,61740
79,Switzerland,61550
80,Angola,53480
81,Uruguay,42220
82,Cameroon,39080
83,Nigeria,35010
84,Sri-Lanka,34210
85,Tunisia,27770
86,Bangladesh,26280
87,Jamaica,24250
88,Papua-New-Guinea,22170
89,Yemen,20180
90,Senegal,17590
91,Gabon,16580
92,Dominican-Republic,16060
93,Congo-Republic-of-the,15760
94,Niger,15280
95,Nicaragua,14720
96,Kenya,13960
97,Burma,13330
98,Zambia,13120
99,Korea-North,11270
100,Brunei,10310
101,Suriname,7571
102,Kyrgyzstan,6996
103,Albania,5638
104,Ghana,2073
105,Guatemala,1162
106,Georgia,247
107,Moldova,232
108,Tajikistan,172
109,Belize,36
110,Afghanistan,0
111,American-Samoa,0
112,Andorra,0
113,Antigua-and-Barbuda,0
114,Armenia,0
115,Aruba,0
116,Bahamas-The,0
117,Barbados,0
118,Benin,0
119,Bermuda,0
120,Bhutan,0
121,Bosnia-and-Herzegovina,0
122,Botswana,0
123,British-Virgin-Islands,0
124,Burkina-Faso,0
125,Burundi,0
126,Cabo-Verde,0
127,Cambodia,0
128,Cayman-Islands,0
129,Central-African-Republic,0
130,Chad,0
131,Comoros,0
132,Congo-Democratic-Republic-of-the,0
133,Cook-Islands,0
134,Costa-Rica,0
135,Cyprus,0
136,Djibouti,0
137,Dominica,0
138,El-Salvador,0
139,Equatorial-Guinea,0
140,Eritrea,0
141,Estonia,0
142,Eswatini,0
143,Ethiopia,0
144,Falkland-Islands-(Islas-Malvinas),0
145,Faroe-Islands,0
146,Fiji,0
147,French-Polynesia,0
148,Gambia-The,0
149,Gibraltar,0
150,Greenland,0
151,Grenada,0
152,Guam,0
153,Guinea,0
154,Guinea-Bissau,0
155,Guyana,0
156,Haiti,0
157,Honduras,0
158,Hong-Kong,0
159,Iceland,0
160,Kiribati,0
161,Kosovo,0
162,Laos,0
163,Latvia,0
164,Lebanon,0
165,Lesotho,0
166,Liberia,0
167,Luxembourg,0
168,Macau,0
169,Macedonia,0
170,Madagascar,0
171,Malawi,0
172,Maldives,0
173,Mali,0
174,Malta,0
175,Marshall-Islands,0
176,Mauritania,0
177,Mauritius,0
178,Micronesia-Federated-States-of,0
179,Mongolia,0
180,Montenegro,0
181,Montserrat,0
182,Mozambique,0
183,Namibia,0
184,Nauru,0
185,Nepal,0
186,New-Caledonia,0
187,Niue,0
188,Panama,0
189,Paraguay,0
190,Puerto-Rico,0
191,Rwanda,0
192,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
193,Saint-Kitts-and-Nevis,0
194,Saint-Lucia,0
195,Saint-Pierre-and-Miquelon,0
196,Saint-Vincent-and-the-Grenadines,0
197,Samoa,0
198,Sao-Tome-and-Principe,0
199,Seychelles,0
200,Sierra-Leone,0
201,Sint-Maarten,0
202,Slovenia,0
203,Solomon-Islands,0
204,Somalia,0
205,South-Sudan,0
206,Tanzania,0
207,Timor-Leste,0
208,Togo,0
209,Tonga,0
210,Turks-and-Caicos-Islands,0
211,Tuvalu,0
212,Uganda,0
213,Vanuatu,0
214,Virgin-Islands,0
215,West-Bank,0
216,Zimbabwe,0
