number,country,amount
1,China,3236000000000
2,Japan,1264000000000
3,Switzerland,811200000000
4,Saudi-Arabia,496400000000
5,Taiwan,456700000000
6,Russia,432700000000
7,Hong-Kong,431400000000
8,India,409800000000
9,Korea-South,389200000000
10,Brazil,374000000000
11,Singapore,279900000000
12,Thailand,202600000000
13,Germany,200100000000
14,Mexico,175300000000
15,France,156400000000
16,Italy,151200000000
17,United-Kingdom,150800000000
18,Czechia,148000000000
19,Indonesia,130200000000
20,United-States,123300000000
21,Iran,120600000000
22,Poland,113300000000
23,Israel,113000000000
24,Turkey,107700000000
25,Malaysia,102400000000
26,Algeria,97890000000
27,United-Arab-Emirates,95370000000
28,Canada,86680000000
29,Philippines,81570000000
30,Denmark,75250000000
31,Libya,74710000000
32,Spain,69410000000
33,Australia,66580000000
34,Norway,65920000000
35,Peru,63830000000
36,Sweden,62220000000
37,Lebanon,55420000000
38,Argentina,55330000000
39,South-Africa,50720000000
40,Vietnam,49500000000
41,Iraq,48880000000
42,Colombia,47130000000
43,Romania,44430000000
44,Chile,38980000000
45,Nigeria,38770000000
46,Netherlands,38440000000
47,Egypt,35890000000
48,Kuwait,33700000000
49,Bangladesh,33420000000
50,Kazakhstan,30750000000
51,Bulgaria,28380000000
52,Hungary,28000000000
53,Morocco,26270000000
54,Belgium,26160000000
55,Portugal,26110000000
56,Turkmenistan,24910000000
57,Austria,21570000000
58,New-Zealand,20680000000
59,Macau,20170000000
60,Croatia,18820000000
61,Ukraine,18810000000
62,Pakistan,18460000000
63,Angola,17290000000
64,Oman,16090000000
65,Uzbekistan,16000000000
66,Uruguay,15960000000
67,Jordan,15560000000
68,Qatar,15010000000
69,Cambodia,12200000000
70,Serbia,11910000000
71,Guatemala,11770000000
72,Cuba,11350000000
73,Finland,10510000000
74,Bolivia,10260000000
75,Venezuela,9661000000
76,Nepal,9091000000
77,Trinidad-and-Tobago,8892000000
78,Sri-Lanka,7959000000
79,Paraguay,7877000000
80,Greece,7807000000
81,Ghana,7555000000
82,Botswana,7491000000
83,Kenya,7354000000
84,Belarus,7315000000
85,Afghanistan,7187000000
86,Costa-Rica,7150000000
87,Dominican-Republic,6873000000
88,Azerbaijan,6681000000
89,Iceland,6567000000
90,Bosnia-and-Herzegovina,6474000000
91,Cote-d'Ivoire,6257000000
92,Mauritius,5984000000
93,Tunisia,5594000000
94,Tanzania,5301000000
95,Burma,4924000000
96,Honduras,4708000000
97,Latvia,4614000000
98,Lithuania,4450000000
99,Ireland,4412000000
100,Jamaica,3781000000
101,Uganda,3654000000
102,Slovakia,3622000000
103,Albania,3590000000
104,El-Salvador,3567000000
105,Brunei,3488000000
106,Mozambique,3361000000
107,Cameroon,3235000000
108,Georgia,3039000000
109,Mongolia,3016000000
110,Ethiopia,3013000000
111,Moldova,2803000000
112,Macedonia,2802000000
113,Nicaragua,2758000000
114,Panama,2703000000
115,Namibia,2432000000
116,Ecuador,2395000000
117,Haiti,2361000000
118,Bahrain,2349000000
119,Armenia,2314000000
120,Kyrgyzstan,2177000000
121,Zambia,2082000000
122,Senegal,1827000000
123,Papua-New-Guinea,1735000000
124,Madagascar,1600000000
125,Bahamas-The,1522000000
126,Niger,1314000000
127,Tajikistan,1292000000
128,Laos,1270000000
129,Bhutan,1206000000
130,Fiji,1116000000
131,Montenegro,1077000000
132,Rwanda,997600000
133,Gabon,981600000
134,Aruba,921800000
135,Slovenia,889900000
136,Cyprus,888200000
137,Luxembourg,878000000
138,Mauritania,875000000
139,Malta,833000000
140,Malawi,780200000
141,Benin,698900000
142,Kosovo,683900000
143,Lesotho,657700000
144,Mali,647800000
145,Cabo-Verde,617400000
146,Guyana,565400000
147,Eswatini,563100000
148,Djibouti,547700000
149,Seychelles,545200000
150,Timor-Leste,544400000
151,Congo-Republic-of-the,505700000
152,Sierra-Leone,478000000
153,Maldives,477900000
154,Liberia,459800000
155,Congo-Democratic-Republic-of-the,457500000
156,Gaza-Strip,446300000
157,Zimbabwe,431800000
158,Suriname,424400000
159,Syria,407300000
160,Vanuatu,395100000
161,San-Marino,392000000
162,Saint-Kitts-and-Nevis,365100000
163,Guinea-Bissau,356400000
164,Estonia,345000000
165,Guinea,331800000
166,Saint-Lucia,321800000
167,Belize,312100000
168,Central-African-Republic,304300000
169,Barbados,264500000
170,Yemen,245400000
171,Eritrea,236700000
172,Dominica,212300000
173,Comoros,208000000
174,Micronesia-Federated-States-of,203700000
175,Grenada,199100000
176,Tonga,198500000
177,Sudan,198000000
178,Saint-Vincent-and-the-Grenadines,182100000
179,Gambia-The,170000000
180,Samoa,133000000
181,Burundi,97400000
182,Togo,77800000
183,Anguilla,76380000
184,South-Sudan,73000000
185,Sao-Tome-and-Principe,58950000
186,Burkina-Faso,49000000
187,Montserrat,47580000
188,Equatorial-Guinea,45500000
189,Somalia,30450000
190,Chad,22900000
191,Curacao,0
192,Kiribati,0
193,Palau,0
194,Solomon-Islands,0
195,West-Bank,0
