number,country,users
1,China,185097221
2,United-States,107667642
3,Japan,62775494
4,France,39234941
5,Germany,38847530
6,Brazil,33585164
7,Russia,31171043
8,United-Kingdom,31160866
9,Iran,29330454
10,Korea-South,24924607
11,Mexico,22471647
12,Spain,21065700
13,India,20198012
14,Italy,20196475
15,Canada,13258721
16,Taiwan,12863860
17,Turkey,11283768
18,Indonesia,9272754
19,Egypt,8885103
20,Australia,7792701
21,Argentina,7791464
22,Poland,6907937
23,Colombia,6774363
24,Malaysia,6530410
25,Netherlands,5598798
26,Venezuela,5501135
27,Saudi-Arabia,5276773
28,Portugal,5179685
29,Greece,5080386
30,Algeria,4558502
31,Belarus,4513255
32,Ukraine,4378911
33,Philippines,4140108
34,Belgium,3967054
35,Hong-Kong,3942605
36,Romania,3731047
37,Vietnam,3710210
38,Austria,3700006
39,Kazakhstan,3275584
40,Uzbekistan,3262896
41,Peru,3099172
42,Syria,3097164
43,Hungary,3084836
44,Israel,3050693
45,Switzerland,3012224
46,Iraq,2678046
47,Sri-Lanka,2641982
48,Chile,2620195
49,Pakistan,2607495
50,Thailand,2580166
51,United-Arab-Emirates,2380238
52,Ecuador,2111291
53,Serbia,2060005
54,Singapore,2003594
55,Morocco,1982934
56,Sweden,1941360
57,South-Africa,1934778
58,Guatemala,1894179
59,Ireland,1854605
60,New-Zealand,1801645
61,Azerbaijan,1686316
62,Libya,1618511
63,Laos,1526232
64,Cuba,1475679
65,Czechia,1473846
66,Tunisia,1444631
67,Bangladesh,1433460
68,Croatia,1371999
69,Yemen,1253287
70,Korea-North,1183806
71,Dominican-Republic,1172083
72,Uruguay,1137193
73,Ethiopia,1095946
74,Denmark,1017009
75,Bulgaria,974056
76,Cameroon,966035
77,Bosnia-and-Herzegovina,920407
78,Moldova,901317
79,El-Salvador,882498
80,Nepal,855926
81,Puerto-Rico,758869
82,Lebanon,752547
83,Bolivia,719399
84,Slovenia,715283
85,Slovakia,673341
86,Panama,671799
87,Turkmenistan,648223
88,Georgia,638092
89,Costa-Rica,630386
90,Norway,571958
91,Burma,544283
92,Gaza-Strip,472293
93,West-Bank,472293
94,Tajikistan,471090
95,Mauritius,470166
96,Cyprus,469305
97,Armenia,462725
98,Honduras,458696
99,Oman,456940
100,Macedonia,402250
101,Qatar,392048
102,Mongolia,385191
103,Jamaica,379420
104,Jordan,375576
105,Lithuania,368515
106,Kuwait,368305
107,Paraguay,309221
108,Estonia,302606
109,Trinidad-and-Tobago,298493
110,Cote-d'Ivoire,284799
111,Kyrgyzstan,275311
112,Ghana,272801
113,Finland,269980
114,Luxembourg,268043
115,Malta,264557
116,Albania,258474
117,Zimbabwe,258419
118,Bahrain,246603
119,Mali,227831
120,Latvia,227149
121,Nicaragua,215055
122,Senegal,195288
123,Uganda,184065
124,Montenegro,183387
125,Nigeria,146075
126,Namibia,144575
127,Sudan,141922
128,Barbados,141618
129,Botswana,139735
130,Papua-New-Guinea,133593
131,Guyana,130497
132,Iceland,128597
133,Afghanistan,125232
134,Angola,122566
135,Macau,119355
136,Kosovo,117317
137,Eritrea,116882
138,Niger,116352
139,Suriname,96310
140,Zambia,91422
141,Brunei,91415
142,New-Caledonia,82111
143,Fiji,80650
144,Bahamas-The,78439
145,Virgin-Islands,77212
146,Burkina-Faso,75066
147,Somalia,74800
148,Tanzania,74081
149,Guam,70639
150,Madagascar,68426
151,Kenya,68072
152,French-Polynesia,63769
153,Mozambique,61575
154,Cabo-Verde,60233
155,Curacao,57443
156,Cambodia,56749
157,Jersey,55938
158,Mauritania,53742
159,Togo,45311
160,Andorra,44050
161,Gambia-The,41179
162,Eswatini,40003
163,Aruba,39582
164,Benin,37305
165,Guernsey,36547
166,Monaco,34903
167,Djibouti,34671
168,Cayman-Islands,33338
169,Saint-Lucia,33285
170,Grenada,33011
171,Bermuda,24808
172,Antigua-and-Barbuda,24403
173,Gabon,22412
174,Bhutan,21916
175,Burundi,20758
176,Northern-Mariana-Islands,20398
177,Seychelles,19627
178,Faroe-Islands,19137
179,Belize,18617
180,Saint-Kitts-and-Nevis,17766
181,Congo-Republic-of-the,17076
182,San-Marino,16070
183,Gibraltar,14865
184,Malawi,14357
185,Liechtenstein,14337
186,Maldives,12316
187,Saint-Vincent-and-the-Grenadines,11889
188,Rwanda,11215
189,Comoros,9840
190,American-Samoa,8984
191,Palau,8808
192,Samoa,8770
193,Liberia,8394
194,Lesotho,7865
195,British-Virgin-Islands,7640
196,Anguilla,7461
197,Greenland,7259
198,Solomon-Islands,7130
199,Equatorial-Guinea,6779
200,Tonga,6748
201,Chad,6540
202,Micronesia-Federated-States-of,6420
203,Turks-and-Caicos-Islands,6096
204,Haiti,5464
205,Sao-Tome-and-Principe,4614
206,Saint-Pierre-and-Miquelon,4086
207,Wallis-and-Futuna,4012
208,Saint-Helena-Ascension-and-Tristan-da-Cunha,3921
209,Vanuatu,3724
210,Cook-Islands,3305
211,Montserrat,3227
212,Marshall-Islands,3172
213,Central-African-Republic,2934
214,Dominica,2751
215,Sierra-Leone,2586
216,Falkland-Islands-(Islas-Malvinas),2255
217,Timor-Leste,2164
218,Tuvalu,1978
219,Nauru,1900
220,Tokelau,300
221,Kiribati,22
222,Congo-Democratic-Republic-of-the,0
223,Guinea,0
224,Guinea-Bissau,0
225,South-Sudan,0
