number,country,amount
1,Niger,47.50
2,Angola,42.70
3,Uganda,42.30
4,Mali,42.20
5,Benin,42.10
6,Chad,41.70
7,Democratic Republic of Congo,41.00
8,Zambia,40.40
9,Malawi,40.10
10,South Sudan,38.80
11,Somalia,38.70
12,Mozambique,38.60
13,Liberia,37.30
14,Guinea-Bissau,36.90
15,Afghanistan,36.70
16,Burundi,36.50
17,Cameroon,36.30
18,Guinea,36.10
19,Sierra Leone,35.40
20,Burkina Faso,35.10
21,Nigeria,34.60
22,Tanzania,34.60
23,Sudan,33.80
24,Zimbabwe,33.60
25,Central African Republic,33.20
26,Congo,32.60
27,Timor-Leste,32.00
28,Togo,32.00
29,Senegal,31.80
30,Ethiopia,31.60
31,Equatorial Guinea,30.70
32,Madagascar,29.90
33,São Tomé and Príncipe,29.70
34,Ghana,29.60
35,Côte d'Ivoire,29.10
36,Western Sahara,29.00
37,Gaza-Strip,28.60
38,Eritrea,27.90
39,Rwanda,27.90
40,Pakistan,27.40
41,Arab Republic of Egypt,27.20
42,Kenya,27.20
43,The Gambia,27.00
44,Gabon,26.30
45,Republic of Yemen,25.80
46,Iraq,25.70
47,Namibia,25.70
48,West Bank and Gaza,25.20
49,Eswatini,24.50
50,Syrian Arab Republic,23.80
51,Comoros,23.60
52,Solomon Islands,23.60
53,Tuvalu,23.40
54,Guatemala,23.30
55,Lesotho,23.20
56,Oman,23.10
57,Jordan,23.00
58,Libya,23.00
59,Philippines,22.90
60,Marshall Islands,22.80
61,Djibouti,22.70
62,Papua New Guinea,22.50
63,Lao People's Democratic Republic,22.40
64,Vanuatu,22.40
65,Belize,22.00
66,Nauru,21.90
67,Tajikistan,21.80
68,Haiti,21.70
69,Cambodia,21.30
70,Tonga,21.00
71,Botswana,20.90
72,Bolivia,20.80
73,Kyrgyz Republic,20.60
74,Kiribati,20.50
75,Algeria,20.00
76,Samoa,19.60
77,South Africa,19.20
78,Cape Verde,19.10
79,Guam,18.90
80,Federated States of Micronesia,18.90
81,El Salvador,18.60
82,Dominican Republic,18.50
83,Honduras,18.50
84,Malaysia,18.30
85,Turkmenistan,18.30
86,India,18.20
87,Bangladesh,18.10
88,Nepal,18.10
89,Kuwait,18.00
90,Morocco,17.90
91,R. B. de Venezuela,17.90
92,American-Samoa,17.80
93,Israel,17.60
94,Mexico,17.60
95,Fiji,17.40
96,Nicaragua,17.10
97,Panama,17.10
98,Myanmar,17.00
99,Ecuador,17.00
100,Peru,17.00
101,Mongolia,16.60
102,Paraguay,16.60
103,Brunei Darussalam,16.50
104,Kazakhstan,16.40
105,Bhutan,16.30
106,Islamic Republic of Iran,16.30
107,Jamaica,16.10
108,Uzbekistan,16.10
109,Argentina,16.00
110,Maldives,16.00
111,Tunisia,15.90
112,Guyana,15.50
113,Antigua and Barbuda,15.40
114,Colombia,15.40
115,Indonesia,15.40
116,Kosovo,15.40
117,Northern-Mariana-Islands,15.10
118,Faroe-Islands,14.90
119,Suriname,14.90
120,The Bahamas,14.80
121,Costa Rica,14.80
122,Turkey,14.80
123,Saudi Arabia,14.70
124,Grenada,14.60
125,Azerbaijan,14.50
126,Dominica,14.50
127,D. P. R. of Korea,14.50
128,New-Caledonia,14.50
129,Vietnam,14.50
130,Saint-Martin,14.30
131,Sri Lanka,14.20
132,Greenland (Den.),14.10
133,Turks-and-Caicos-Islands,14.10
134,French-Polynesia,14.00
135,Gibraltar,13.80
136,Brazil,13.60
137,Lebanon,13.60
138,Curacao,13.40
139,Cook-Islands,13.30
140,Iceland,13.30
141,Chile,13.10
