number,country,amount
1,South Africa,7500000
2,Mozambique,2200000
3,India,2100000
4,Nigeria,1800000
5,Tanzania,1700000
6,Kenya,1500000
7,Uganda,1500000
8,Zimbabwe,1400000
9,Zambia,1200000
10,Malawi,1100000
11,Russian Federation,1000000
12,Brazil,920000
13,Ethiopia,670000
14,Indonesia,640000
15,Democratic Republic of Congo,520000
16,Cameroon,510000
17,Thailand,480000
18,Côte d'Ivoire,430000
19,Botswana,380000
20,Angola,340000
21,Ghana,340000
22,Lesotho,340000
23,Ukraine,250000
24,Myanmar,240000
25,Mexico,230000
26,Rwanda,230000
27,Vietnam,230000
28,Namibia,210000
29,Colombia,200000
30,Eswatini,200000
31,France,190000
32,Pakistan,190000
33,Romania,190000
34,South Sudan,190000
35,Haiti,160000
36,Spain,150000
37,Argentina,140000
38,Mali,140000
39,Italy,130000
40,Chad,120000
41,Togo,120000
42,Guinea,110000
43,R. B. de Venezuela,110000
44,Burkina Faso,100000
45,Central African Republic,100000
46,Congo,100000
47,Philippines,97000
48,Malaysia,88000
49,Germany,87000
50,Peru,87000
51,Burundi,85000
52,Sierra Leone,78000
53,Benin,75000
54,Chile,74000
55,Cambodia,73000
56,Dominican Republic,72000
57,Equatorial Guinea,65000
58,Islamic Republic of Iran,59000
59,Papua New Guinea,52000
60,Gabon,51000
61,Uzbekistan,50000
62,Ecuador,47000
63,Liberia,47000
64,Sudan,46000
65,Portugal,41000
66,Senegal,41000
67,Guinea-Bissau,40000
68,Madagascar,39000
69,Guatemala,36000
70,Kazakhstan,33000
71,Niger,33000
72,Cuba,32000
73,Jamaica,32000
74,Japan,30000
75,Nepal,30000
76,Australia,29000
77,Belarus,28000
78,The Gambia,28000
79,El Salvador,27000
80,Arab Republic of Egypt,26000
81,Panama,26000
82,Honduras,25000
83,Netherlands,24000
84,Algeria,22000
85,Paraguay,22000
86,Morocco,21000
87,Bolivia,19000
88,Switzerland,17000
89,Moldova,15000
90,Bangladesh,14000
91,Costa Rica,14000
92,Eritrea,14000
93,Greece,14000
94,Tajikistan,14000
95,Uruguay,14000
96,Lao People's Democratic Republic,13000
97,Afghanistan,11000
98,Mauritius,11000
99,Somalia,11000
100,Sweden,11000
101,Trinidad and Tobago,11000
102,Republic of Yemen,11000
103,Kyrgyz Republic,10000
104,Azerbaijan,9700
105,Nicaragua,9600
106,Libya,9500
107,Georgia,9100
108,Israel,9000
109,Guyana,8700
110,Saudi Arabia,8200
111,Singapore,7900
112,Ireland,7500
113,Austria,7400
114,Estonia,7400
115,Djibouti,6800
116,Tunisia,6500
117,Denmark,6200
118,The Bahamas,6000
119,Norway,5800
120,Suriname,5800
121,Western Sahara,5700
122,Latvia,5600
123,Belize,4900
124,Czech Republic,4400
125,Finland,4000
126,Hungary,3700
127,Sri Lanka,3600
128,Armenia,3500
129,New Zealand,3500
130,Lithuania,3400
131,Bulgaria,3300
132,Serbia,3200
133,Barbados,2700
134,Lebanon,2700
135,Cape Verde,2500
136,Oman,2500
137,Croatia,1600
138,Timor-Leste,1500
139,Albania,1400
140,Bhutan,1300
141,Luxembourg,1200
142,Saint Vincent and the Grenadines,1200
143,Slovak Republic,1200
144,São Tomé and Príncipe,1100
145,Fiji,1000
