number,country,amount
1,United States of America,293564
2,China,131000
3,Russian Federation,87157
4,Canada,77932
5,India,68525
6,Argentina,36917
7,Germany,33590
8,Australia,33343
9,Brazil,29850
10,France,29640
11,Japan,27311
12,Ukraine,21733
13,South Africa,20986
14,Mexico,20825
15,Italy,20182
16,Poland,19231
17,United Kingdom,16837
18,Kazakhstan,16614
19,Spain,15333
20,Sweden,14127
21,Turkey,12710
22,Pakistan,11881
23,Romania,11268
24,Czech Republic,9408
25,Islamic Republic of Iran,8484
26,Cuba,8367
27,Indonesia,8159
28,Hungary,8049
29,D. P. R. of Korea,7435
30,Chile,7282
31,Sudan,7251
32,Finland,5926
33,Austria,5800
34,Switzerland,5690
35,Belarus,5528
36,Saudi Arabia,5410
37,Bulgaria,5114
38,Turkmenistan,5113
39,Arab Republic of Egypt,5085
40,Myanmar,5031
41,Mozambique,4787
42,Uzbekistan,4642
43,Tanzania,4567
44,Ireland,4301
45,Norway,4200
46,New Zealand,4128
47,Thailand,4127
48,Democratic Republic of Congo,4007
49,Republic of Korea,3979
50,Algeria,3973
51,Bolivia,3960
52,Kenya,3819
53,Serbia,3809
54,Nigeria,3798
55,Belgium,3592
56,Slovak Republic,3580
57,Denmark,3476
58,Zimbabwe,3427
59,Zambia,3126
60,Portugal,3075
61,Netherlands,3058
62,Azerbaijan,2944
63,Angola,2852
64,Croatia,2722
65,Namibia,2628
66,Vietnam,2600
67,Greece,2548
68,Bangladesh,2460
69,Iraq,2272
70,Tunisia,2173
71,Estonia,2146
72,Colombia,2141
73,Morocco,2067
74,Syrian Arab Republic,2052
75,Latvia,1860
76,Peru,1854
77,Malaysia,1851
78,Mongolia,1815
79,Lithuania,1768
80,Uruguay,1673
81,Taiwan,1613
82,Sri Lanka,1562
83,Israel,1384
84,Georgia,1363
85,Uganda,1244
86,Slovenia,1229
87,Moldova,1171
88,Guinea,1086
89,Cameroon,987
90,Bosnia and Herzegovina,965
91,Ecuador,965
92,Ghana,947
93,Macedonia,925
94,Senegal,906
95,Botswana,888
96,Madagascar,836
97,Guatemala,800
98,Armenia,780
99,Malawi,767
100,Western Sahara,728
101,Honduras,699
102,Tajikistan,680
103,Albania,677
104,Côte d'Ivoire,660
105,Ethiopia,659
106,Gabon,649
107,Cambodia,642
108,Burkina Faso,622
109,Fiji,597
110,Mali,593
111,Togo,568
112,Congo,510
113,Jordan,509
114,Dominican Republic,496
115,R. B. de Venezuela,447
116,Benin,438
117,Liberia,429
118,Kyrgyz Republic,424
119,Lebanon,401
120,Kosovo,333
121,Eritrea,306
122,Eswatini,301
123,Costa Rica,278
124,Luxembourg,275
125,Montenegro,250
126,South Sudan,248
127,Djibouti,97
128,Panama,77
129,Philippines,77
130,Isle-of-Man,63
131,Nepal,59
132,Saint Kitts and Nevis,50
133,Paraguay,30
134,Christmas-Island,18
135,El Salvador,13
136,Liechtenstein,9
