number,country,amount
1,R. B. de Venezuela,302300000000
2,Saudi Arabia,266200000000
3,Canada,170500000000
4,Islamic Republic of Iran,157200000000
5,Iraq,148800000000
6,Kuwait,101500000000
7,United Arab Emirates,97800000000
8,Russian Federation,80000000000
9,Libya,48360000000
10,Nigeria,37450000000
11,Kazakhstan,30000000000
12,China,25630000000
13,Qatar,25240000000
14,Brazil,12630000000
15,Algeria,12200000000
16,Angola,9523000000
17,Ecuador,8273000000
18,Azerbaijan,7000000000
19,Mexico,6630000000
20,Norway,6376000000
21,Oman,5373000000
22,Sudan,5000000000
23,India,4495000000
24,Arab Republic of Egypt,4400000000
25,Vietnam,4400000000
26,South Sudan,3750000000
27,Malaysia,3600000000
28,Indonesia,3310000000
29,Republic of Yemen,3000000000
30,Syrian Arab Republic,2500000000
31,Uganda,2500000000
32,Argentina,2162000000
33,United Kingdom,2069000000
34,Gabon,2000000000
35,Australia,1821000000
36,Colombia,1665000000
37,Congo,1600000000
38,Chad,1500000000
39,Brunei Darussalam,1100000000
40,Equatorial Guinea,1100000000
41,Ghana,660000000
42,Romania,600000000
43,Turkmenistan,600000000
44,Uzbekistan,594000000
45,Italy,487800000
46,Denmark,439000000
47,Peru,434900000
48,Tunisia,425000000
49,Ukraine,395000000
50,Thailand,349400000
51,Turkey,341600000
52,Pakistan,332200000
53,Trinidad and Tobago,243000000
54,Bolivia,211500000
55,Cameroon,200000000
56,Belarus,198000000
57,Papua New Guinea,183800000
58,Democratic Republic of Congo,180000000
59,Albania,168300000
60,Chile,150000000
61,Niger,150000000
62,Spain,150000000
63,Myanmar,139000000
64,Philippines,138500000
65,Germany,129600000
66,Poland,126000000
67,Bahrain,124600000
68,Cuba,124000000
69,Côte d'Ivoire,100000000
70,Suriname,84200000
71,Guatemala,83070000
72,Netherlands,81130000
73,Serbia,77500000
74,Croatia,71000000
75,France,65970000
76,New Zealand,51800000
77,Japan,44120000
78,Austria,41200000
79,Kyrgyz Republic,40000000
80,Georgia,35000000
81,Bangladesh,28000000
82,Hungary,24000000
83,Western Sahara,20000000
84,Bulgaria,15000000
85,Czech Republic,15000000
86,South Africa,15000000
87,Israel,12730000
88,Lithuania,12000000
89,Tajikistan,12000000
90,Greece,10000000
91,Slovak Republic,9000000
92,Benin,8000000
93,Belize,6700000
94,Barbados,2534000
95,Taiwan,2380000
96,Jordan,1000000
97,Morocco,684000
98,Ethiopia,428000
99,Afghanistan,0
100,American-Samoa,0
101,Andorra,0
102,Antigua and Barbuda,0
103,Armenia,0
104,Aruba,0
105,The Bahamas,0
106,Belgium,0
107,Bermuda,0
108,Bhutan,0
109,Bosnia and Herzegovina,0
110,Botswana,0
111,British-Virgin-Islands,0
112,Burkina Faso,0
113,Burundi,0
114,Cape Verde,0
115,Cambodia,0
116,Cayman-Islands,0
117,Central African Republic,0
118,Comoros,0
119,Cook-Islands,0
120,Costa Rica,0
121,Curacao,0
122,Cyprus,0
123,Djibouti,0
124,Dominica,0
125,Dominican Republic,0
126,El Salvador,0
127,Eritrea,0
128,Estonia,0
129,Eswatini,0
130,Falkland-Islands-(Islas-Malvinas),0
131,Faroe-Islands,0
132,Fiji,0
133,Finland,0
134,French-Polynesia,0
135,The Gambia,0
136,Gaza-Strip,0
137,Gibraltar,0
138,Greenland (Den.),0
139,Grenada,0
140,Guam,0
141,Guinea,0
142,Guinea-Bissau,0
143,Guyana,0
144,Haiti,0
145,Honduras,0
146,Hong Kong, SAR,0
147,Iceland,0
148,Ireland,0
149,Jamaica,0
150,Kenya,0
151,Kiribati,0
152,D. P. R. of Korea,0
153,Kosovo,0
154,Lao People's Democratic Republic,0
155,Latvia,0
156,Lebanon,0
157,Lesotho,0
158,Liberia,0
159,Luxembourg,0
160,Macau, SAR,0
161,Macedonia,0
162,Madagascar,0
163,Malawi,0
164,Maldives,0
165,Mali,0
166,Malta,0
167,Marshall Islands,0
168,Mauritius,0
169,Federated States of Micronesia,0
170,Moldova,0
171,Montenegro,0
172,Montserrat,0
173,Mozambique,0
174,Namibia,0
175,Nauru,0
176,Nepal,0
177,New-Caledonia,0
178,Nicaragua,0
179,Niue,0
180,Panama,0
181,Paraguay,0
182,Portugal,0
183,Puerto-Rico,0
184,Rwanda,0
185,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
186,Saint Kitts and Nevis,0
187,Saint Lucia,0
188,Saint-Pierre-and-Miquelon,0
189,Saint Vincent and the Grenadines,0
190,Samoa,0
191,São Tomé and Príncipe,0
192,Senegal,0
193,Seychelles,0
194,Sierra Leone,0
195,Singapore,0
196,Slovenia,0
197,Solomon Islands,0
198,Somalia,0
199,Sri Lanka,0
200,Sweden,0
201,Switzerland,0
202,Tanzania,0
203,Timor-Leste,0
204,Togo,0
205,Tokelau,0
206,Tonga,0
207,Turks-and-Caicos-Islands,0
208,Tuvalu,0
209,Uruguay,0
210,Vanuatu,0
211,Virgin-Islands,0
212,West Bank and Gaza,0
213,Zambia,0
214,Zimbabwe,0
