number,country,amount
1,Germany,280238000000
2,Japan,185644000000
3,China,141335000000
4,Netherlands,90207000000
5,Switzerland,79937000000
6,Russian Federation,65311000000
7,Taiwan,65173000000
8,Singapore,63109000000
9,Republic of Korea,59971000000
10,Italy,59517000000
11,Thailand,37033000000
12,Denmark,30935000000
13,Spain,29603000000
14,United Arab Emirates,26470000000
15,Hong Kong, SAR,22469000000
16,Sweden,22339000000
17,Macau, SAR,16750000000
18,Norway,16656000000
19,Saudi Arabia,15230000000
20,Israel,13411000000
21,Austria,12667000000
22,Vietnam,12478000000
23,Malaysia,12295000000
24,Nigeria,10380000000
25,Islamic Republic of Iran,9491000000
26,Turkey,8561000000
27,Australia,8146000000
28,Kuwait,7127000000
29,Qatar,6426000000
30,Papua New Guinea,4859000000
31,Iraq,4344000000
32,R. B. de Venezuela,4277000000
33,Luxembourg,3254000000
34,Slovenia,3050000000
35,Poland,2920000000
36,Libya,2574000000
37,Trinidad and Tobago,2325000000
38,Botswana,2146000000
39,Bulgaria,2060000000
40,Brunei Darussalam,2021000000
41,Belgium,1843000000
42,Lithuania,1817000000
43,Uzbekistan,1713000000
44,Azerbaijan,1685000000
45,Croatia,1597000000
46,Malta,1561000000
47,Iceland,1496000000
48,Guatemala,1134000000
49,Afghanistan,1014000000
50,Cuba,985400000
51,Uruguay,879000000
52,Bermuda,818600000
53,Estonia,616000000
54,Eswatini,604000000
55,British-Virgin-Islands,362600000
56,Myanmar,240000000
57,French-Polynesia,207700000
58,Cook-Islands,26670000
59,Aruba,22000000
60,Saint Lucia,21000000
61,Kiribati,18000000
62,Federated States of Micronesia,12000000
63,Nauru,5000000
64,Tuvalu,2000000
65,Puerto-Rico,0
66,San Marino,0
67,Marshall Islands,-1000000
68,Suriname,-2000000
69,Sri Lanka,-10000000
70,Vanuatu,-13000000
71,Montserrat,-15400000
72,Samoa,-19000000
73,Anguilla,-23200000
74,Comoros,-27000000
75,Guinea-Bissau,-27000000
76,São Tomé and Príncipe,-32000000
77,Madagascar,-35000000
78,Tajikistan,-35000000
79,Ecuador,-53000000
80,Palau,-53000000
81,Tonga,-53000000
82,Solomon Islands,-54000000
83,Dominica,-70000000
84,Grenada,-77000000
85,Nepal,-93000000
86,Saint Kitts and Nevis,-97000000
87,Lesotho,-102000000
88,Cape Verde,-109000000
89,Antigua and Barbuda,-112000000
90,Saint Vincent and the Grenadines,-116000000
91,Eritrea,-137000000
92,Belize,-143000000
93,Macedonia,-151000000
94,South Sudan,-154000000
95,Central African Republic,-163000000
96,Dominican Republic,-165000000
97,Barbados,-189000000
98,The Gambia,-194000000
99,Democratic Republic of Congo,-200000000
100,Portugal,-203000000
101,Namibia,-216000000
102,Latvia,-222000000
103,Guyana,-237000000
104,Fiji,-277000000
105,Djibouti,-280000000
106,Timor-Leste,-284000000
107,Jamaica,-298000000
108,Paraguay,-298000000
109,Kyrgyz Republic,-306000000
110,Seychelles,-307000000
111,Armenia,-328000000
112,Haiti,-348000000
113,Honduras,-380000000
114,Togo,-383000000
115,Hungary,-392000000
116,Curacao,-400000000
117,Sierra Leone,-407000000
118,Burundi,-418000000
119,Somalia,-464000000
120,Kosovo,-467000000
121,Cayman-Islands,-492600000
122,El Salvador,-501000000
123,Bhutan,-547000000
124,Chad,-558000000
125,Malawi,-591000000
126,Moldova,-602000000
127,Finland,-603000000
128,Rwanda,-622000000
129,Liberia,-627000000
130,Czech Republic,-678000000
131,Nicaragua,-694000000
132,Guinea,-705000000
133,Western Sahara,-711000000
134,Zimbabwe,-716000000
135,Gabon,-725000000
136,Equatorial Guinea,-738000000
137,Montenegro,-780000000
138,Bosnia and Herzegovina,-873000000
139,Mauritius,-875000000
140,Maldives,-876000000
141,Mali,-886000000
142,Albania,-908000000
143,Belarus,-931000000
144,Cameroon,-932000000
145,Zambia,-1006000000
146,Burkina Faso,-1019000000
147,Benin,-1024000000
148,Congo,-1128000000
149,Mongolia,-1155000000
150,Niger,-1160000000
151,Uganda,-1212000000
152,Jordan,-1222000000
153,Republic of Yemen,-1236000000
154,Angola,-1254000000
155,Tanzania,-1313000000
156,Georgia,-1348000000
157,Gaza-Strip,-1444000000
158,West Bank and Gaza,-1444000000
159,New-Caledonia,-1469000000
160,Senegal,-1547000000
161,Cyprus,-1578000000
162,Bahrain,-1600000000
163,Costa Rica,-1692000000
164,Côte d'Ivoire,-1860000000
165,Cambodia,-1871000000
166,The Bahamas,-1909000000
167,Lao People's Democratic Republic,-2057000000
168,Syrian Arab Republic,-2123000000
169,Ghana,-2131000000
170,Serbia,-2354000000
171,Bolivia,-2375000000
172,Mozambique,-3025000000
173,Slovak Republic,-3026000000
174,Panama,-3036000000
175,Greece,-3114000000
176,Philippines,-3386000000
177,Peru,-3531000000
178,Argentina,-3997000000
179,Ukraine,-4124000000
180,Tunisia,-4191000000
181,Mexico,-4351000000
182,Turkmenistan,-4359000000
183,Sudan,-4811000000
184,Morocco,-5075000000
185,Bangladesh,-5322000000
186,Ethiopia,-6551000000
187,New Zealand,-6962000000
188,Pakistan,-7143000000
189,Kazakhstan,-7206000000
190,Arab Republic of Egypt,-8915000000
191,South Africa,-10626000000
192,Oman,-10760000000
193,Chile,-10933000000
194,Romania,-11389000000
195,Lebanon,-12370000000
196,Colombia,-13748000000
197,France,-18102000000
198,Algeria,-22100000000
199,India,-29748000000
200,Indonesia,-30359000000
201,Canada,-35425000000
202,Ireland,-44954000000
203,Brazil,-50927000000
204,Kenya,-57594000000
205,United Kingdom,-121921000000
206,United States of America,-480225000000
