number,country,amount
1,United States of America,17910000000000
2,United Kingdom,8126000000000
3,France,5360000000000
4,Germany,5326000000000
5,Netherlands,4063000000000
6,Luxembourg,3781000000000
7,Japan,3240000000000
8,Ireland,2470000000000
9,Italy,2444000000000
10,Spain,2094000000000
11,Australia,1714000000000
12,Switzerland,1664000000000
13,Canada,1608000000000
14,China,1598000000000
15,Belgium,1281000000000
16,Sweden,939900000000
17,Norway,642300000000
18,Hong Kong, SAR,633600000000
19,Austria,630800000000
20,Singapore,566100000000
21,Brazil,547400000000
22,Russian Federation,539600000000
23,Greece,506600000000
24,India,501600000000
25,Denmark,484800000000
26,Turkey,452400000000
27,Portugal,449000000000
28,Mexico,445800000000
29,Republic of Korea,384600000000
30,Indonesia,344400000000
31,Poland,241000000000
32,United Arab Emirates,237600000000
33,Malaysia,217200000000
34,Argentina,214900000000
35,Czech Republic,205200000000
36,Saudi Arabia,205100000000
37,Chile,183400000000
38,Taiwan,181900000000
39,Qatar,167800000000
40,Kazakhstan,167500000000
41,South Africa,156300000000
42,Finland,150600000000
43,Hungary,138100000000
44,Thailand,132000000000
45,Ukraine,130000000000
46,Colombia,124600000000
47,R. B. de Venezuela,100300000000
48,Vietnam,96580000000
49,Romania,95970000000
50,Cyprus,95280000000
51,New Zealand,91620000000
52,Panama,91530000000
53,Malta,90980000000
54,Israel,88660000000
55,Pakistan,82190000000
56,Arab Republic of Egypt,77470000000
57,Philippines,76180000000
58,Slovak Republic,75040000000
59,Iraq,73020000000
60,Peru,66250000000
61,Puerto-Rico,56820000000
62,Sudan,56050000000
63,Bahrain,52150000000
64,Sri Lanka,51720000000
65,Morocco,51480000000
66,Bangladesh,50260000000
67,Croatia,48100000000
68,Kuwait,47240000000
69,Slovenia,46300000000
70,Oman,46270000000
71,Angola,42080000000
72,Bulgaria,42060000000
73,Nigeria,40960000000
74,Latvia,40020000000
75,Belarus,39920000000
76,Lebanon,39300000000
77,Ecuador,39290000000
78,Lithuania,34480000000
79,Tunisia,30190000000
80,Cuba,30060000000
81,Serbia,29500000000
82,Jordan,29340000000
83,Dominican Republic,29160000000
84,Uruguay,28370000000
85,Kenya,27590000000
86,Costa Rica,26830000000
87,Ethiopia,26050000000
88,Mongolia,25330000000
89,Guatemala,22920000000
90,Ghana,22140000000
91,Iceland,21700000000
92,Mauritius,19990000000
93,Estonia,19050000000
94,Palau,18380000000
95,Papua New Guinea,17940000000
96,Paraguay,17700000000
97,Tanzania,17660000000
98,The Bahamas,17560000000
99,Azerbaijan,17410000000
100,Georgia,16990000000
101,Uzbekistan,16900000000
102,El Salvador,15510000000
103,Jamaica,14940000000
104,Lao People's Democratic Republic,14900000000
105,Côte d'Ivoire,13070000000
106,Bolivia,12810000000
107,Cambodia,11870000000
108,Zambia,11660000000
109,Nicaragua,11310000000
110,Mozambique,10910000000
111,Bosnia and Herzegovina,10870000000
112,Uganda,10800000000
113,Armenia,10410000000
114,Albania,9505000000
115,Cameroon,9375000000
116,Zimbabwe,9357000000
117,Macedonia,8790000000
118,Honduras,8625000000
119,Senegal,8571000000
120,Trinidad and Tobago,8238000000
121,Kyrgyz Republic,8164000000
122,Islamic Republic of Iran,7995000000
123,Namibia,7969000000
124,Republic of Yemen,7068000000
125,Myanmar,6594000000
126,Moldova,6549000000
127,Gabon,6490000000
128,Algeria,6260000000
129,Nepal,5849000000
130,Tajikistan,5750000000
131,Somalia,5300000000
132,D. P. R. of Korea,5000000000
133,Syrian Arab Republic,4989000000
134,Democratic Republic of Congo,4963000000
135,Congo,4605000000
136,Barbados,4490000000
137,Mali,4192000000
138,Western Sahara,4150000000
139,Madagascar,4089000000
140,Niger,3728000000
141,Rwanda,3258000000
142,Burkina Faso,3056000000
143,Libya,3020000000
144,Benin,2804000000
145,Haiti,2762000000
146,Bhutan,2671000000
147,Seychelles,2559000000
148,Montenegro,2516000000
149,Bermuda,2515000000
150,Botswana,2187000000
151,Malawi,2102000000
152,Djibouti,1954000000
153,Chad,1724000000
154,Cape Verde,1713000000
155,Suriname,1700000000
156,Guyana,1690000000
157,West Bank and Gaza,1662000000
158,Sierra Leone,1615000000
159,Guinea,1458000000
160,Togo,1442000000
161,Belize,1315000000
162,Equatorial Guinea,1211000000
163,Guinea-Bissau,1095000000
164,Liberia,1036000000
165,Fiji,1022000000
166,Lesotho,934600000
167,Maldives,848800000
168,Grenada,793500000
169,Eritrea,792700000
170,Central African Republic,779900000
171,Solomon Islands,757000000
172,Aruba,693200000
173,Burundi,610900000
174,The Gambia,586800000
175,Saint Lucia,570600000
176,Turkmenistan,539400000
177,Eswatini,526300000
178,Kosovo,506000000
179,Samoa,447200000
180,Antigua and Barbuda,441200000
181,Faroe-Islands,387600000
182,Saint Vincent and the Grenadines,362200000
183,Timor-Leste,311500000
184,São Tomé and Príncipe,292900000
185,Afghanistan,284000000
186,Dominica,280400000
187,Saint Kitts and Nevis,201800000
188,Vanuatu,200500000
189,Comoros,199800000
190,Tonga,189900000
191,Cook-Islands,141000000
192,New-Caledonia,112000000
193,Marshall Islands,97960000
194,Federated States of Micronesia,93600000
195,Anguilla,41040000
196,Kiribati,40900000
197,Greenland (Den.),36400000
198,British-Virgin-Islands,36100000
199,Nauru,33300000
200,Montserrat,8900000
201,Wallis-and-Futuna,3670000
202,Niue,418000
203,Andorra,0
204,Brunei Darussalam,0
205,Falkland-Islands-(Islas-Malvinas),0
206,Liechtenstein,0
207,Macau, SAR,0
