number,country,amount
1,France,50.0
2,Belgium,28.0
3,Slovak Republic,27.0
4,Ukraine,23.0
5,Hungary,22.0
6,Sweden,22.0
7,Republic of Korea,21.0
8,Bulgaria,20.0
9,Slovenia,20.0
10,Czech Republic,19.0
11,Switzerland,18.0
12,Finland,17.0
13,Russian Federation,11.0
14,Taiwan,11.0
15,Armenia,9.0
16,Canada,9.0
17,United Kingdom,9.0
18,United States of America,9.0
19,Spain,7.0
20,Romania,6.0
21,Germany,5.0
22,Pakistan,5.0
23,Argentina,4.0
24,South Africa,4.0
25,China,2.0
26,India,2.0
27,Mexico,2.0
28,Brazil,1.0
29,Islamic Republic of Iran,1.0
30,Japan,1.0
31,Netherlands,1.0
32,Afghanistan,0.0
33,Albania,0.0
34,Algeria,0.0
35,American-Samoa,0.0
36,Andorra,0.0
37,Angola,0.0
38,Antigua and Barbuda,0.0
39,Aruba,0.0
40,Australia,0.0
41,Austria,0.0
42,Azerbaijan,0.0
43,The Bahamas,0.0
44,Bahrain,0.0
45,Bangladesh,0.0
46,Barbados,0.0
47,Belarus,0.0
48,Belize,0.0
49,Benin,0.0
50,Bermuda,0.0
51,Bhutan,0.0
52,Bolivia,0.0
53,Bosnia and Herzegovina,0.0
54,Botswana,0.0
55,British-Virgin-Islands,0.0
56,Brunei Darussalam,0.0
57,Burkina Faso,0.0
58,Myanmar,0.0
59,Burundi,0.0
60,Cape Verde,0.0
61,Cambodia,0.0
62,Cameroon,0.0
63,Cayman-Islands,0.0
64,Central African Republic,0.0
65,Chad,0.0
66,Chile,0.0
67,Colombia,0.0
68,Comoros,0.0
69,Democratic Republic of Congo,0.0
70,Congo,0.0
71,Cook-Islands,0.0
72,Costa Rica,0.0
73,Côte d'Ivoire,0.0
74,Croatia,0.0
75,Cuba,0.0
76,Cyprus,0.0
77,Denmark,0.0
78,Djibouti,0.0
79,Dominica,0.0
80,Dominican Republic,0.0
81,Ecuador,0.0
82,Arab Republic of Egypt,0.0
83,El Salvador,0.0
84,Equatorial Guinea,0.0
85,Eritrea,0.0
86,Estonia,0.0
87,Eswatini,0.0
88,Ethiopia,0.0
89,Falkland-Islands-(Islas-Malvinas),0.0
90,Faroe-Islands,0.0
91,Fiji,0.0
92,French-Polynesia,0.0
93,Gabon,0.0
94,The Gambia,0.0
95,Georgia,0.0
96,Ghana,0.0
97,Gibraltar,0.0
98,Greece,0.0
99,Greenland (Den.),0.0
100,Grenada,0.0
101,Guam,0.0
102,Guatemala,0.0
103,Guinea,0.0
104,Guinea-Bissau,0.0
105,Guyana,0.0
106,Haiti,0.0
107,Honduras,0.0
108,Hong Kong, SAR,0.0
109,Iceland,0.0
110,Indonesia,0.0
111,Iraq,0.0
112,Ireland,0.0
113,Israel,0.0
114,Italy,0.0
115,Jamaica,0.0
116,Jordan,0.0
117,Kazakhstan,0.0
118,Kenya,0.0
119,Kiribati,0.0
120,D. P. R. of Korea,0.0
121,Kosovo,0.0
122,Kuwait,0.0
123,Kyrgyz Republic,0.0
124,Lao People's Democratic Republic,0.0
125,Latvia,0.0
126,Lebanon,0.0
127,Lesotho,0.0
128,Liberia,0.0
129,Libya,0.0
130,Lithuania,0.0
131,Luxembourg,0.0
132,Macau, SAR,0.0
133,Macedonia,0.0
134,Madagascar,0.0
135,Malawi,0.0
136,Malaysia,0.0
137,Maldives,0.0
138,Mali,0.0
139,Malta,0.0
140,Marshall Islands,0.0
141,Western Sahara,0.0
142,Mauritius,0.0
143,Federated States of Micronesia,0.0
144,Moldova,0.0
145,Mongolia,0.0
146,Montenegro,0.0
147,Montserrat,0.0
148,Morocco,0.0
149,Mozambique,0.0
150,Namibia,0.0
151,Nauru,0.0
152,Nepal,0.0
153,New-Caledonia,0.0
154,New Zealand,0.0
155,Nicaragua,0.0
156,Niger,0.0
157,Nigeria,0.0
158,Niue,0.0
159,Norway,0.0
160,Oman,0.0
161,Panama,0.0
162,Papua New Guinea,0.0
163,Paraguay,0.0
164,Peru,0.0
165,Philippines,0.0
166,Poland,0.0
167,Portugal,0.0
168,Puerto-Rico,0.0
169,Qatar,0.0
170,Rwanda,0.0
171,Saint-Helena-Ascension-and-Tristan-da-Cunha,0.0
172,Saint Kitts and Nevis,0.0
173,Saint Lucia,0.0
174,Saint-Pierre-and-Miquelon,0.0
175,Saint Vincent and the Grenadines,0.0
176,Samoa,0.0
177,São Tomé and Príncipe,0.0
178,Saudi Arabia,0.0
179,Senegal,0.0
180,Serbia,0.0
181,Seychelles,0.0
182,Sierra Leone,0.0
183,Singapore,0.0
184,Solomon Islands,0.0
185,Somalia,0.0
186,South Sudan,0.0
187,Sri Lanka,0.0
188,Sudan,0.0
189,Suriname,0.0
190,Syrian Arab Republic,0.0
191,Tajikistan,0.0
192,Tanzania,0.0
193,Thailand,0.0
194,Timor-Leste,0.0
195,Togo,0.0
196,Tonga,0.0
197,Trinidad and Tobago,0.0
198,Tunisia,0.0
199,Turkey,0.0
200,Turkmenistan,0.0
201,Turks-and-Caicos-Islands,0.0
202,Tuvalu,0.0
203,Uganda,0.0
204,United Arab Emirates,0.0
205,Uruguay,0.0
206,Uzbekistan,0.0
207,Vanuatu,0.0
208,R. B. de Venezuela,0.0
209,Vietnam,0.0
210,Virgin-Islands,0.0
211,West Bank and Gaza,0.0
212,Republic of Yemen,0.0
213,Zambia,0.0
214,Zimbabwe,0.0
