number,country,amount
1,Timor-Leste,100.0
2,Luxembourg,67.0
3,Denmark,54.0
4,Germany,52.0
5,Uruguay,42.0
6,Eswatini,41.0
7,United Kingdom,39.0
8,Belgium,36.0
9,Nicaragua,35.0
10,Portugal,35.0
11,Honduras,34.0
12,Ireland,33.0
13,Kenya,33.0
14,Italy,32.0
15,Spain,32.0
16,Sweden,32.0
17,Austria,31.0
18,El Salvador,29.0
19,Greece,29.0
20,Samoa,29.0
21,Vanuatu,29.0
22,Estonia,28.0
23,Guatemala,28.0
24,Fiji,27.0
25,Kiribati,27.0
26,Falkland-Islands-(Islas-Malvinas),26.0
27,Sierra Leone,26.0
28,Tonga,26.0
29,Iceland,25.0
30,Finland,23.0
31,Lithuania,23.0
32,Netherlands,23.0
33,Belize,22.0
34,West Bank and Gaza,22.0
35,Cape Verde,21.0
36,Cook-Islands,21.0
37,Republic of Yemen,21.0
38,Japan,20.0
39,Western Sahara,20.0
40,New Zealand,20.0
41,Bulgaria,19.0
42,France,19.0
43,Malta,19.0
44,Poland,19.0
45,Romania,19.0
46,Brazil,18.0
47,China,18.0
48,Costa Rica,18.0
49,Australia,17.0
50,Croatia,16.0
51,Czech Republic,16.0
52,Faroe-Islands,16.0
53,India,16.0
54,Philippines,16.0
55,Thailand,16.0
56,Andorra,15.0
57,Chile,15.0
58,Cyprus,15.0
59,Jamaica,15.0
60,Morocco,15.0
61,Burundi,14.0
62,Mauritius,14.0
63,Nauru,14.0
64,Turkey,14.0
65,United States of America,14.0
66,Aruba,13.0
67,Hungary,13.0
68,Niue,13.0
69,Panama,13.0
70,Slovak Republic,13.0
71,Switzerland,13.0
72,Burkina Faso,12.0
73,Canada,12.0
74,Jordan,12.0
75,Uganda,12.0
76,Ethiopia,11.0
77,French-Polynesia,11.0
78,Guyana,11.0
79,Mongolia,11.0
80,Senegal,11.0
81,South Africa,10.0
82,Mexico,9.0
83,Seychelles,9.0
84,Slovenia,9.0
85,Cuba,8.0
86,Republic of Korea,8.0
87,Latvia,8.0
88,Montenegro,8.0
89,Namibia,8.0
90,Solomon Islands,8.0
91,Barbados,7.0
92,Bolivia,7.0
93,Dominican Republic,7.0
94,Pakistan,7.0
95,Papua New Guinea,7.0
96,Rwanda,7.0
97,Somalia,7.0
98,Guam,6.0
99,Indonesia,6.0
100,Malawi,6.0
101,New-Caledonia,6.0
102,Saint Kitts and Nevis,6.0
103,Sri Lanka,6.0
104,Sudan,6.0
105,Taiwan,6.0
106,Tanzania,6.0
107,Israel,5.0
108,Niger,5.0
109,Tunisia,5.0
110,Zimbabwe,5.0
111,Afghanistan,4.0
112,Grenada,4.0
113,Malaysia,4.0
114,Maldives,4.0
115,Norway,4.0
116,Peru,4.0
117,Puerto-Rico,4.0
118,Saint-Pierre-and-Miquelon,4.0
119,Antigua and Barbuda,3.0
120,Argentina,3.0
121,Belarus,3.0
122,British-Virgin-Islands,3.0
123,Chad,3.0
124,Dominica,3.0
125,The Gambia,3.0
126,Macedonia,3.0
127,Federated States of Micronesia,3.0
128,Nepal,3.0
129,Ukraine,3.0
130,Algeria,2.0
131,American-Samoa,2.0
132,Angola,2.0
133,Azerbaijan,2.0
134,Bangladesh,2.0
135,Benin,2.0
136,Cambodia,2.0
137,Colombia,2.0
138,Ecuador,2.0
139,Arab Republic of Egypt,2.0
140,Equatorial Guinea,2.0
141,Madagascar,2.0
142,Moldova,2.0
143,Saint Vincent and the Grenadines,2.0
144,Singapore,2.0
145,Suriname,2.0
146,Virgin-Islands,2.0
147,Zambia,2.0
148,Bosnia and Herzegovina,1.0
149,Myanmar,1.0
150,Cameroon,1.0
151,Central African Republic,1.0
152,Eritrea,1.0
153,Ghana,1.0
154,Guinea-Bissau,1.0
155,Kazakhstan,1.0
156,Kosovo,1.0
157,Lao People's Democratic Republic,1.0
158,Lebanon,1.0
159,Lesotho,1.0
160,Mali,1.0
161,Mozambique,1.0
162,Paraguay,1.0
163,Qatar,1.0
164,Russian Federation,1.0
165,Saint Lucia,1.0
166,São Tomé and Príncipe,1.0
167,Serbia,1.0
168,South Sudan,1.0
169,Togo,1.0
170,United Arab Emirates,1.0
171,Vietnam,1.0
172,Albania,0.0
173,Armenia,0.0
174,The Bahamas,0.0
175,Bahrain,0.0
176,Bermuda,0.0
177,Bhutan,0.0
178,Botswana,0.0
179,Brunei Darussalam,0.0
180,Cayman-Islands,0.0
181,Comoros,0.0
182,Democratic Republic of Congo,0.0
183,Congo,0.0
184,Côte d'Ivoire,0.0
185,Djibouti,0.0
186,Gabon,0.0
187,Georgia,0.0
188,Gibraltar,0.0
189,Greenland (Den.),0.0
190,Guinea,0.0
191,Haiti,0.0
192,Hong Kong, SAR,0.0
193,Islamic Republic of Iran,0.0
194,Iraq,0.0
195,D. P. R. of Korea,0.0
196,Kuwait,0.0
197,Kyrgyz Republic,0.0
198,Liberia,0.0
199,Libya,0.0
200,Macau, SAR,0.0
201,Marshall Islands,0.0
202,Montserrat,0.0
203,Nigeria,0.0
204,Oman,0.0
205,Saint-Helena-Ascension-and-Tristan-da-Cunha,0.0
206,Saudi Arabia,0.0
207,Syrian Arab Republic,0.0
208,Tajikistan,0.0
209,Trinidad and Tobago,0.0
210,Turkmenistan,0.0
211,Turks-and-Caicos-Islands,0.0
212,Uzbekistan,0.0
213,R. B. de Venezuela,0.0
