number,country,amount
1,China,2490000000000
2,United States of America,2377156000000
3,Germany,2004158000000
4,Japan,1084146000000
5,France,969077000000
6,United Kingdom,901882000000
7,Netherlands,857574000000
8,Italy,687340000000
9,Republic of Korea,683996000000
10,Singapore,626680000000
11,Canada,618762000000
12,India,572073000000
13,Hong Kong, SAR,568877000000
14,Russian Federation,551128000000
15,Ireland,541789000000
16,Spain,533771000000
17,Mexico,491593000000
18,Belgium,474278000000
19,Switzerland,443997000000
20,Australia,404562000000
21,Poland,394848000000
22,Taiwan,388490000000
23,Turkey,310671000000
24,United Arab Emirates,308500000000
25,Sweden,302650000000
26,Brazil,291452000000
27,Thailand,291169000000
28,Austria,270888000000
29,Malaysia,265499000000
30,Indonesia,249628000000
31,Vietnam,248953000000
32,Czech Republic,229578000000
33,Denmark,226589000000
34,Saudi Arabia,221100000000
35,Norway,185101000000
36,Hungary,167990000000
37,Ukraine,161231000000
38,Luxembourg,133610000000
39,Philippines,131193000000
40,South Africa,123864000000
41,Finland,119887000000
42,Portugal,114512000000
43,Romania,114311000000
44,Slovak Republic,113964000000
45,Israel,104992000000
46,Oman,103300000000
47,Islamic Republic of Iran,101400000000
48,Greece,92925000000
49,Chile,90626000000
50,Arab Republic of Egypt,87891000000
51,Kuwait,84825000000
52,R. B. de Venezuela,83401000000
53,Argentina,82985000000
54,Kazakhstan,76455000000
55,Puerto-Rico,73170000000
56,Qatar,67500000000
57,Colombia,61697000000
58,Iraq,61400000000
59,New Zealand,56219000000
60,Peru,55583000000
61,Slovenia,49872000000
62,Morocco,48565000000
63,Lithuania,45358000000
64,Bulgaria,42369000000
65,Croatia,36280000000
66,Algeria,34370000000
67,Angola,33070000000
68,Bangladesh,33057000000
69,Pakistan,31517000000
70,Belarus,28650000000
71,Bahrain,27635000000
72,Panama,25940000000
73,Ecuador,25446000000
74,Estonia,23950000000
75,Malta,23868000000
76,Palau,23170000000
77,Democratic Republic of Congo,21160000000
78,Cyprus,20650000000
79,Latvia,20444000000
80,Libya,18380000000
81,Côte d'Ivoire,16326000000
82,Sri Lanka,16322000000
83,Myanmar,16267000000
84,Serbia,15920000000
85,Azerbaijan,15150000000
86,Ghana,13840000000
87,Tunisia,13820000000
88,Jordan,13109000000
89,Paraguay,11730000000
90,Uzbekistan,11480000000
91,Cambodia,11420000000
92,Uruguay,11410000000
93,Guatemala,11120000000
94,Costa Rica,10810000000
95,Gabon,10800000000
96,Malawi,10718000000
97,Iceland,10415000000
98,Dominican Republic,10120000000
99,Kenya,10078000000
100,Trinidad and Tobago,9927000000
101,Bolivia,9632000000
102,Bosnia and Herzegovina,8843000000
103,Equatorial Guinea,8776000000
104,Honduras,8675000000
105,Papua New Guinea,8522000000
106,Zambia,8216000000
107,Tanzania,7827000000
108,Uganda,7686000000
109,Turkmenistan,7458000000
110,Mongolia,7012000000
111,Namibia,6087000000
112,Botswana,5934000000
113,Brunei Darussalam,5885000000
114,Madagascar,5272000000
115,Jamaica,5114000000
116,Guinea,5041000000
117,Cameroon,4732000000
118,El Salvador,4662000000
119,Macedonia,4601000000
120,Zimbabwe,4422000000
121,Congo,4193000000
122,Sudan,4100000000
123,Moldova,3985000000
124,Burkina Faso,3902000000
125,San Marino,3827000000
126,Nicaragua,3819000000
127,Lao People's Democratic Republic,3654000000
128,Georgia,3566000000
129,Lebanon,3524000000
130,Mozambique,3349000000
131,Ethiopia,3230000000
132,Liechtenstein,3217000000
133,Mali,3060000000
134,Benin,3056000000
135,Kyrgyz Republic,2742000000
136,Cuba,2630000000
137,Chad,2464000000
138,Eswatini,2389000000
139,Senegal,2362000000
140,Armenia,2361000000
141,Mauritius,2360000000
142,New-Caledonia,2207000000
143,West Bank and Gaza,2126000000
144,Suriname,2028000000
145,Gaza-Strip,1955000000
146,Togo,1862000000
147,Syrian Arab Republic,1850000000
148,Virgin-Islands,1810000000
149,Niger,1525000000
150,Macau, SAR,1450000000
151,Guyana,1439000000
152,French-Polynesia,1245000000
153,Faroe-Islands,1184000000
154,Nigeria,1146000000
155,South Sudan,1130000000
156,Guam,1124000000
157,Lesotho,1106000000
158,Sierra Leone,1085000000
159,Rwanda,1050000000
160,Haiti,980200000
161,Monaco,964600000
162,Northern-Mariana-Islands,914000000
163,Fiji,908200000
164,Albania,900700000
165,Tajikistan,873100000
166,Curacao,839700000
167,Somalia,819000000
168,Nepal,818700000
169,Afghanistan,784000000
170,The Gambia,643000000
171,Eritrea,624300000
172,Seychelles,564800000
173,Bhutan,554600000
174,The Bahamas,550000000
175,Barbados,485400000
176,Solomon Islands,468600000
177,Belize,457500000
178,American-Samoa,428000000
179,Kosovo,428000000
180,Montenegro,422200000
181,Cayman-Islands,421900000
182,Greenland (Den.),407100000
183,Republic of Yemen,384500000
184,Liberia,330000000
185,Western Sahara,321000000
186,Burundi,279000000
187,Falkland-Islands-(Islas-Malvinas),257300000
188,Maldives,256200000
189,D. P. R. of Korea,222000000
190,Gibraltar,202300000
191,Cape Verde,189000000
192,Guinea-Bissau,188000000
193,Saint Lucia,185100000
194,Comoros,161000000
195,Djibouti,139900000
196,Aruba,137100000
197,Nauru,125000000
198,Central African Republic,113700000
199,Federated States of Micronesia,88300000
200,Antigua and Barbuda,86700000
201,Kiribati,84750000
202,Andorra,78710000
203,Saint Kitts and Nevis,57400000
204,Saint Vincent and the Grenadines,48600000
205,Vanuatu,44700000
206,Grenada,39900000
207,Dominica,28000000
208,Samoa,27500000
209,Turks-and-Caicos-Islands,24770000
210,British-Virgin-Islands,23000000
211,Bermuda,19000000
212,Saint-Helena-Ascension-and-Tristan-da-Cunha,19000000
213,Tonga,18400000
214,Timor-Leste,16700000
215,São Tomé and Príncipe,15600000
216,Anguilla,7900000
217,Saint-Pierre-and-Miquelon,6641000
218,Montserrat,4400000
219,Cook-Islands,3125000
220,Tuvalu,600000
221,Niue,201400
222,Tokelau,103000
223,Wallis-and-Futuna,47450
224,Marshall Islands,0
