number,country,amount
1,Qatar,50.20
2,Palau,48.70
3,Brunei Darussalam,47.50
4,Suriname,46.60
5,Singapore,46.50
6,China,45.80
7,Nepal,45.40
8,Bhutan,40.40
9,Botswana,40.30
10,Panama,38.90
11,Zambia,38.30
12,Islamic Republic of Iran,37.90
13,Algeria,37.80
14,Papua New Guinea,36.80
15,Republic of Korea,36.60
16,Kuwait,35.40
17,Taiwan,34.90
18,Norway,34.30
19,Thailand,34.10
20,Sri Lanka,33.80
21,Switzerland,33.80
22,Malta,33.50
23,Ireland,33.10
24,Uzbekistan,32.70
25,Cape Verde,32.40
26,Ethiopia,32.10
27,Indonesia,31.70
28,Netherlands,31.20
29,Macedonia,30.30
30,Bangladesh,30.20
31,Morocco,30.10
32,Saudi Arabia,30.10
33,Vietnam,29.00
34,Sweden,28.90
35,Denmark,28.80
36,India,28.80
37,Angola,28.60
38,Malaysia,28.50
39,United Arab Emirates,28.50
40,Germany,28.00
41,Japan,28.00
42,Kyrgyz Republic,27.30
43,Austria,27.00
44,Estonia,27.00
45,Czech Republic,26.90
46,Mongolia,26.90
47,Hong Kong, SAR,26.60
48,Russian Federation,26.50
49,Slovenia,26.40
50,Trinidad and Tobago,26.40
51,Ecuador,25.90
52,Iceland,25.80
53,Faroe-Islands,25.70
54,Hungary,25.70
55,Gabon,25.60
56,Cameroon,25.50
57,Turkey,25.50
58,Bulgaria,25.40
59,Eswatini,25.40
60,Tanzania,25.00
61,Haiti,24.90
62,Croatia,24.70
63,Azerbaijan,24.60
64,Belarus,24.50
65,Belgium,24.50
66,Tajikistan,24.40
67,Philippines,24.30
68,Western Sahara,24.20
69,Nicaragua,24.00
70,Turkmenistan,23.90
71,Kazakhstan,23.70
72,Israel,23.60
73,Finland,23.30
74,Zimbabwe,23.30
75,Georgia,23.00
76,Spain,23.00
77,France,22.90
78,Afghanistan,22.70
79,Lao People's Democratic Republic,22.70
80,Niger,22.40
81,Djibouti,22.30
82,Luxembourg,22.30
83,Honduras,22.10
84,Dominican Republic,21.60
85,Mexico,21.40
86,Senegal,21.20
87,Romania,21.10
88,Australia,21.00
89,New Zealand,21.00
90,Canada,20.80
91,Latvia,20.70
92,Slovak Republic,20.60
93,Uganda,20.60
94,Chile,20.50
95,Italy,20.30
96,Lesotho,20.30
97,Poland,20.00
98,Saint Kitts and Nevis,19.90
99,Bahrain,19.80
100,Peru,19.80
101,Congo,19.50
102,Saint Lucia,19.40
103,Iraq,19.00
104,Colombia,18.90
105,Ukraine,18.90
106,United States of America,18.90
107,São Tomé and Príncipe,18.70
108,Paraguay,18.60
109,Jamaica,18.30
110,Nigeria,18.20
111,Lithuania,18.00
112,Armenia,17.80
113,Myanmar,17.70
114,Argentina,17.60
115,Antigua and Barbuda,17.30
116,Benin,17.30
117,Comoros,17.30
118,Kosovo,17.30
119,Uruguay,17.20
120,Aruba,17.00
121,Syrian Arab Republic,17.00
122,Mauritius,16.90
123,Mozambique,16.80
124,Portugal,16.80
125,Namibia,16.70
126,Mali,16.50
127,Oman,16.10
128,South Africa,16.10
129,Togo,16.10
130,Albania,15.90
131,Côte d'Ivoire,15.90
132,Bolivia,15.70
133,Chad,15.50
134,Serbia,15.30
135,Costa Rica,15.10
136,Brazil,15.00
137,El Salvador,14.90
138,Madagascar,14.80
139,Cambodia,13.70
140,Cyprus,13.70
141,Guatemala,13.60
142,United Kingdom,13.60
143,Moldova,13.50
144,Montenegro,13.20
145,Solomon Islands,13.10
146,Fiji,12.70
147,Rwanda,12.50
148,Saint Vincent and the Grenadines,12.10
149,Sudan,12.10
150,R. B. de Venezuela,12.10
151,Pakistan,12.00
152,Tunisia,12.00
153,Grenada,11.70
154,Democratic Republic of Congo,11.50
155,The Bahamas,11.40
156,Cuba,11.40
157,Belize,11.30
158,Bosnia and Herzegovina,11.00
159,Greece,10.90
160,Dominica,10.80
161,Guyana,10.50
162,Kenya,10.40
163,Sierra Leone,10.00
164,Burkina Faso,9.30
165,Jordan,9.10
166,Arab Republic of Egypt,9.00
167,Ghana,9.00
168,Guinea-Bissau,8.60
169,Seychelles,8.10
170,West Bank and Gaza,7.80
171,Barbados,7.20
172,The Gambia,6.80
173,Equatorial Guinea,6.10
174,Eritrea,5.50
175,Central African Republic,5.40
176,Guinea,5.10
177,Libya,5.00
178,Malawi,3.90
179,South Sudan,3.60
180,Maldives,0.50
181,Lebanon,-0.70
182,Republic of Yemen,-1.90
183,Burundi,-5.30
184,Liberia,-21.90
