number,country,amount
1,Burkina Faso,-3.20
2,Niger,-2.50
3,Saudi Arabia,-2.00
4,United Arab Emirates,-1.90
5,Côte d'Ivoire,-1.10
6,Andorra,-0.90
7,Chad,-0.90
8,Benin,-0.80
9,Senegal,-0.80
10,Burundi,-0.60
11,Qatar,-0.60
12,American-Samoa,-0.50
13,Aruba,-0.50
14,Liechtenstein,-0.40
15,Faroe-Islands,-0.30
16,Brunei Darussalam,-0.20
17,Iraq,-0.10
18,Serbia,-0.10
19,El Salvador,0.00
20,French-Polynesia,0.00
21,Marshall Islands,0.00
22,Saint Kitts and Nevis,0.00
23,Oman,0.10
24,Saint Lucia,0.10
25,Cyprus,0.20
26,Ecuador,0.20
27,Gaza-Strip,0.20
28,Greece,0.20
29,Guinea-Bissau,0.20
30,Morocco,0.20
31,West Bank and Gaza,0.20
32,Greenland (Den.),0.30
33,Jordan,0.30
34,Republic of Korea,0.30
35,Montenegro,0.30
36,Northern-Mariana-Islands,0.30
37,Portugal,0.30
38,Switzerland,0.30
39,Japan,0.40
40,Kiribati,0.40
41,Mauritius,0.40
42,Federated States of Micronesia,0.50
43,Singapore,0.50
44,Solomon Islands,0.50
45,Taiwan,0.50
46,Dominica,0.60
47,Italy,0.60
48,Malaysia,0.60
49,Timor-Leste,0.60
50,Togo,0.60
51,Croatia,0.70
52,Denmark,0.70
53,Djibouti,0.70
54,Macedonia,0.70
55,Spain,0.70
56,Thailand,0.70
57,Israel,0.80
58,Lao People's Democratic Republic,0.80
59,Grenada,0.90
60,Ireland,0.90
61,Palau,0.90
62,Panama,0.90
63,Wallis-and-Futuna,0.90
64,Comoros,1.00
65,Finland,1.00
66,Guam,1.00
67,San Marino,1.00
68,Virgin-Islands,1.00
69,Belize,1.10
70,British-Virgin-Islands,1.10
71,Cape Verde,1.10
72,France,1.10
73,Kyrgyz Republic,1.10
74,Bosnia and Herzegovina,1.20
75,Equatorial Guinea,1.20
76,Montserrat,1.20
77,Anguilla,1.30
78,North Macedonia,1.30
79,Samoa,1.30
80,Albania,1.40
81,Armenia,1.40
82,The Bahamas,1.40
83,Bahrain,1.40
84,Belgium,1.40
85,Falkland-Islands-(Islas-Malvinas),1.40
86,Germany,1.40
87,New-Caledonia,1.40
88,Austria,1.50
89,Kuwait,1.50
90,Monaco,1.50
91,Saint-Pierre-and-Miquelon,1.50
92,Somalia,1.50
93,Australia,1.60
94,Malta,1.60
95,New Zealand,1.60
96,Slovenia,1.60
97,Luxembourg,1.70
98,Sweden,1.70
99,United Kingdom,1.70
100,Bolivia,1.80
101,Dominican Republic,1.80
102,Puerto-Rico,1.80
103,Seychelles,1.80
104,United States of America,1.80
105,Algeria,1.90
106,Bermuda,1.90
107,Canada,1.90
108,Mali,1.90
109,Trinidad and Tobago,1.90
110,Cayman-Islands,2.00
111,Costa Rica,2.00
112,Guyana,2.00
113,Norway,2.10
114,Peru,2.10
115,Poland,2.10
116,Chile,2.20
117,Congo,2.20
118,Cook-Islands,2.20
119,Estonia,2.20
120,Western Sahara,2.20
121,Saint Vincent and the Grenadines,2.20
122,Lithuania,2.30
123,Maldives,2.30
124,Cameroon,2.40
125,Gabon,2.40
126,Philippines,2.40
127,Antigua and Barbuda,2.50
128,Gibraltar,2.50
129,Azerbaijan,2.60
130,Curacao,2.60
131,Kosovo,2.60
132,Netherlands,2.60
133,Slovak Republic,2.60
134,Botswana,2.70
135,Central African Republic,2.70
136,Macau, SAR,2.70
137,Mozambique,2.70
138,Vietnam,2.70
139,China,2.80
140,Czech Republic,2.80
141,Hong Kong, SAR,2.80
142,Indonesia,2.80
143,Latvia,2.80
144,Lebanon,2.80
145,Uganda,2.80
146,Cambodia,2.90
147,Iceland,3.00
148,Bulgaria,3.10
149,Vanuatu,3.10
150,Hungary,3.30
151,Rwanda,3.30
152,Fiji,3.40
153,Guernsey,3.40
154,Tanzania,3.40
155,Colombia,3.50
156,Mexico,3.60
157,Paraguay,3.60
158,Brazil,3.70
159,Guatemala,3.70
160,India,3.70
161,Jersey,3.70
162,Namibia,3.70
163,Romania,3.80
164,Jamaica,3.90
165,Niue,4.00
166,Saint-Helena-Ascension-and-Tristan-da-Cunha,4.00
167,Sint-Maarten,4.00
168,Tokelau,4.00
169,Turks-and-Caicos-Islands,4.00
170,Isle-of-Man,4.10
171,South Africa,4.10
172,Tuvalu,4.10
173,Honduras,4.30
174,Sri Lanka,4.30
175,Barbados,4.40
176,Russian Federation,4.40
177,Nepal,4.50
178,Mongolia,4.60
179,Georgia,4.80
180,Moldova,4.80
181,Afghanistan,5.00
182,Kenya,5.10
183,Nauru,5.10
184,Kazakhstan,5.20
185,Lesotho,5.30
186,Nicaragua,5.30
187,Papua New Guinea,5.40
188,Bangladesh,5.50
189,Cuba,5.50
190,Belarus,5.60
191,Madagascar,5.60
192,Bhutan,5.80
193,Eswatini,6.20
194,Tunisia,6.70
195,The Gambia,7.10
196,Tonga,7.40
197,Tajikistan,7.70
198,São Tomé and Príncipe,7.80
199,Uruguay,7.80
200,Ukraine,7.90
201,Turkmenistan,8.00
202,Ghana,8.40
203,Myanmar,8.80
204,Eritrea,9.00
205,Zambia,9.10
206,Arab Republic of Egypt,9.30
207,Malawi,9.30
208,Pakistan,9.30
209,Guinea,9.40
210,Islamic Republic of Iran,10.00
211,Nigeria,11.30
212,Liberia,12.40
213,Uzbekistan,12.50
214,Haiti,14.70
215,Sierra Leone,14.80
216,Turkey,15.40
217,Ethiopia,15.70
218,Angola,17.20
219,Suriname,22.00
220,Republic of Yemen,24.70
221,Argentina,25.70
222,Syrian Arab Republic,28.10
223,Libya,28.50
224,Democratic Republic of Congo,41.50
225,Sudan,50.20
226,South Sudan,187.90
227,Zimbabwe,241.70
228,R. B. de Venezuela,146101.70
