number,country,amount
1,Tuvalu,106.7
2,Nauru,90.3
3,Greenland (Den.),77.4
4,Kiribati,76.8
5,Andorra,69.0
6,Palau,66.1
7,Federated States of Micronesia,65.2
8,Cuba,58.1
9,Norway,54.4
10,France,53.8
11,Finland,53.1
12,Denmark,53.0
13,Marshall Islands,52.6
14,Libya,51.6
15,Belgium,51.3
16,Sweden,50.6
17,Greece,48.8
18,Austria,48.3
19,Anguilla,46.7
20,Italy,46.6
21,Croatia,46.1
22,Germany,45.0
23,Hungary,44.5
24,Luxembourg,44.4
25,R. B. de Venezuela,44.2
26,Bosnia and Herzegovina,44.0
27,Netherlands,43.4
28,Slovenia,43.1
29,Portugal,42.9
30,Serbia,42.7
31,Iceland,42.4
32,Kuwait,41.8
33,Solomon Islands,41.0
34,Dominica,40.9
35,Belarus,40.7
36,San Marino,40.6
37,Czech Republic,40.5
38,Malta,40.4
39,Bolivia,39.9
40,Cyprus,39.9
41,Estonia,39.9
42,Tonga,39.8
43,Lesotho,39.7
44,Seychelles,39.6
45,Poland,39.5
46,French-Polynesia,39.4
47,Slovak Republic,39.4
48,Canada,39.3
49,United Kingdom,39.1
50,British-Virgin-Islands,38.9
51,Cayman-Islands,38.9
52,Spain,37.9
53,American-Samoa,37.8
54,Latvia,37.5
55,Montenegro,37.2
56,New Zealand,36.8
57,Brazil,35.7
58,Bulgaria,35.7
59,Iraq,35.7
60,Switzerland,35.7
61,Australia,35.5
62,Djibouti,35.3
63,Japan,35.2
64,Eritrea,34.9
65,Lithuania,33.7
66,Falkland-Islands-(Islas-Malvinas),32.5
67,Algeria,32.3
68,Namibia,32.2
69,Ecuador,32.0
70,Saint Kitts and Nevis,31.9
71,Tajikistan,31.8
72,Northern-Mariana-Islands,31.4
73,Oman,31.3
74,Uzbekistan,31.2
75,Botswana,30.5
76,Faroe-Islands,30.2
77,Moldova,30.2
78,Belize,29.9
79,Uruguay,29.8
80,Fiji,29.7
81,Jamaica,29.7
82,Barbados,29.4
83,Angola,29.3
84,Romania,29.3
85,Macau, SAR,29.2
86,Cook-Islands,29.0
87,Kosovo,29.0
88,Macedonia,29.0
89,Virgin-Islands,28.9
90,United Arab Emirates,28.8
91,Georgia,28.7
92,Kyrgyz Republic,28.7
93,Saint Vincent and the Grenadines,28.7
94,Eswatini,28.6
95,Samoa,28.2
96,Guyana,28.1
97,Nicaragua,28.0
98,Cape Verde,27.8
99,Albania,27.6
100,Western Sahara,27.4
101,Bhutan,27.2
102,Vanuatu,27.2
103,Peru,27.1
104,Saint-Pierre-and-Miquelon,26.8
105,Mozambique,26.7
106,Mongolia,26.6
107,South Africa,26.6
108,Ukraine,26.6
109,Colombia,26.5
110,Israel,26.5
111,Maldives,26.4
112,Qatar,26.4
113,Saudi Arabia,26.4
114,São Tomé and Príncipe,26.2
115,Ireland,26.0
116,Grenada,25.8
117,Comoros,25.3
118,Aruba,25.2
119,Vietnam,24.8
120,Tunisia,24.7
121,Trinidad and Tobago,24.5
122,Nepal,23.8
123,El Salvador,23.7
124,Jordan,23.6
125,Saint Lucia,23.6
126,Azerbaijan,23.5
127,Gibraltar,23.3
128,Hong Kong, SAR,23.2
129,Republic of Korea,23.2
130,Armenia,22.9
131,Mexico,22.7
132,Congo,22.5
133,Mauritius,22.5
134,Kazakhstan,22.3
135,Malawi,21.7
136,Lebanon,21.5
137,Togo,21.5
138,Zimbabwe,21.5
139,Guam,21.4
140,Niger,21.4
141,China,21.3
142,Rwanda,21.3
143,Burkina Faso,21.2
144,Morocco,20.9
145,Chile,20.8
146,Guernsey,20.6
147,New-Caledonia,20.4
148,The Gambia,20.3
149,Ghana,20.3
150,Honduras,20.3
151,Turkey,20.3
152,Panama,20.1
153,Mali,20.0
154,Antigua and Barbuda,19.6
155,Senegal,19.6
156,Côte d'Ivoire,19.1
157,Argentina,18.9
158,Brunei Darussalam,18.5
159,Sudan,18.5
160,Papua New Guinea,18.4
161,Lao People's Democratic Republic,18.3
162,Guinea-Bissau,18.2
163,Haiti,18.2
164,Cambodia,17.9
165,Arab Republic of Egypt,17.9
166,The Bahamas,17.6
167,Gabon,17.6
168,Kenya,17.6
169,Zambia,17.4
170,Islamic Republic of Iran,17.3
171,Benin,17.1
172,United States of America,17.0
173,Equatorial Guinea,16.9
174,Liberia,16.9
175,Wallis-and-Futuna,16.7
176,Bahrain,16.6
177,Curacao,16.6
178,Guinea,16.6
179,Jersey,16.6
180,Malaysia,16.4
181,Russian Federation,16.4
182,Suriname,16.4
183,Bermuda,16.3
184,Taiwan,16.0
185,Madagascar,15.9
186,Burundi,15.8
187,Singapore,15.7
188,Philippines,15.6
189,Sierra Leone,15.6
190,Pakistan,15.4
191,Cameroon,15.3
192,Tanzania,15.2
193,Thailand,15.2
194,Dominican Republic,14.9
195,Liechtenstein,14.9
196,Monaco,14.9
197,Turkmenistan,14.9
198,Central African Republic,14.6
199,Uganda,14.5
200,Costa Rica,14.3
201,Isle-of-Man,14.2
202,Paraguay,14.2
203,Ethiopia,13.9
204,Sri Lanka,13.8
205,Myanmar,13.5
206,Chad,13.5
207,West Bank and Gaza,13.4
208,Indonesia,13.0
209,D. P. R. of Korea,11.4
210,Afghanistan,11.2
211,Democratic Republic of Congo,11.2
212,Guatemala,10.8
213,Timor-Leste,10.8
214,Bangladesh,9.6
215,India,9.2
216,Republic of Yemen,9.0
217,Puerto-Rico,8.9
218,South Sudan,8.5
219,Syrian Arab Republic,4.2
220,Nigeria,3.4
221,Somalia,2.1
